date,time,open,high,low,close,volume,amount,settelementPrice,openInterest,preClose,suspendFlag,datetime
20250102,1735747200000,31.57,32.45,30.82,31.240000000000002,11616,36791137.0,0.0,15,31.38,0,2025-01-01 16:00:00
20250103,1735833600000,31.18,31.58,29.0,29.0,12889,38553796.00000001,0.0,15,31.240000000000002,0,2025-01-02 16:00:00
20250106,1736092800000,28.91,29.39,27.39,28.55,9472,27039627.0,0.0,15,29.0,0,2025-01-05 16:00:00
20250107,1736179200000,28.64,29.98,28.64,29.96,10569,31029553.999999996,0.0,15,28.55,0,2025-01-06 16:00:00
20250108,1736265600000,28.92,30.560000000000002,28.92,30.330000000000002,11575,34779235.0,0.0,15,29.96,0,2025-01-07 16:00:00
20250109,1736352000000,30.330000000000002,30.42,29.92,30.14,7878,23765312.0,0.0,15,30.330000000000002,0,2025-01-08 16:00:00
20250110,1736438400000,30.24,30.58,29.04,29.04,7313,21755488.0,0.0,15,30.14,0,2025-01-09 16:00:00
20250113,1736697600000,29.860000000000003,29.860000000000003,27.830000000000002,29.240000000000002,6889,19866083.0,0.0,15,29.040000000000003,0,2025-01-12 16:00:00
20250114,1736784000000,29.490000000000002,30.880000000000003,29.490000000000002,30.860000000000003,11039,33498037.0,0.0,15,29.240000000000002,0,2025-01-13 16:00:00
20250115,1736870400000,30.900000000000002,31.3,30.560000000000002,30.750000000000004,7816,24159475.0,0.0,15,30.860000000000003,0,2025-01-14 16:00:00
20250116,1736956800000,30.900000000000002,31.46,30.44,30.880000000000003,7789,24146954.0,0.0,15,30.75,0,2025-01-15 16:00:00
20250117,1737043200000,30.88,30.9,30.38,30.68,5230,15999954.0,0.0,15,30.88,0,2025-01-16 16:00:00
20250120,1737302400000,31.13,31.29,30.52,31.169999999999998,7272,22583132.0,0.0,15,30.68,0,2025-01-19 16:00:00
20250121,1737388800000,31.2,31.419999999999998,30.43,30.93,7044,21732637.0,0.0,15,31.169999999999998,0,2025-01-20 16:00:00
20250122,1737475200000,30.93,31.02,30.45,30.62,4702,14430856.000000002,0.0,15,30.93,0,2025-01-21 16:00:00
20250123,1737561600000,31.01,31.78,30.740000000000002,30.740000000000002,9785,30584711.000000004,0.0,15,30.62,0,2025-01-22 16:00:00
20250124,1737648000000,30.740000000000002,31.44,30.3,31.32,8470,26239397.000000004,0.0,15,30.740000000000002,0,2025-01-23 16:00:00
20250127,1737907200000,31.880000000000003,31.98,30.830000000000002,30.930000000000003,6776,21305357.000000004,0.0,15,31.32,0,2025-01-26 16:00:00
20250205,1738684800000,31.490000000000002,31.720000000000002,31.05,31.71,8645,27233898.0,0.0,15,30.93,0,2025-02-04 16:00:00
20250206,1738771200000,31.61,32.19,31.32,32.14,9312,29611197.0,0.0,15,31.71,0,2025-02-05 16:00:00
20250207,1738857600000,32.14,32.98,32.01,32.47,11300,36794416.0,0.0,15,32.14,0,2025-02-06 16:00:00
20250210,1739116800000,32.309999999999995,33.07,32.15,33.07,9767,31909657.0,0.0,15,32.47,0,2025-02-09 16:00:00
20250211,1739203200000,33.26,33.99,32.57,33.08,11359,37482935.0,0.0,15,33.07,0,2025-02-10 16:00:00
20250212,1739289600000,32.83,33.1,32.4,33.0,9940,32558422.0,0.0,15,33.08,0,2025-02-11 16:00:00
20250213,1739376000000,33.0,33.18,32.52,32.52,9956,32655065.0,0.0,15,33.0,0,2025-02-12 16:00:00
20250214,1739462400000,32.52,32.88,32.32,32.79,7540,24628516.000000004,0.0,15,32.52,0,2025-02-13 16:00:00
20250217,1739721600000,32.58,33.2,32.53,32.89,11955,39306946.0,0.0,15,32.79,0,2025-02-16 16:00:00
20250218,1739808000000,32.76,32.99,31.61,31.97,10485,33814148.0,0.0,15,32.89,0,2025-02-17 16:00:00
20250219,1739894400000,31.98,32.550000000000004,31.740000000000002,32.260000000000005,9642,31123491.0,0.0,15,31.970000000000002,0,2025-02-18 16:00:00
20250220,1739980800000,32.36,32.83,31.98,32.730000000000004,8799,28587892.999999996,0.0,15,32.26,0,2025-02-19 16:00:00
20250221,1740067200000,32.95,33.1,32.17,32.940000000000005,11778,38514225.0,0.0,15,32.730000000000004,0,2025-02-20 16:00:00
20250224,1740326400000,33.3,34.43,32.83,33.85,20613,69504004.0,0.0,15,32.94,0,2025-02-23 16:00:00
20250225,1740412800000,33.43000000000001,33.46,32.84,32.900000000000006,11751,38902892.0,0.0,15,33.85,0,2025-02-24 16:00:00
20250226,1740499200000,33.0,33.3,32.61,32.88,7370,24205672.0,0.0,15,32.9,0,2025-02-25 16:00:00
20250227,1740585600000,33.160000000000004,33.95,32.52,32.970000000000006,11111,36964659.0,0.0,15,32.88,0,2025-02-26 16:00:00
20250228,1740672000000,32.800000000000004,32.92,31.78,31.78,8601,27744369.0,0.0,15,32.97,0,2025-02-27 16:00:00
20250303,1740931200000,31.89,32.64,31.45,31.59,8952,28703967.0,0.0,15,31.779999999999998,0,2025-03-02 16:00:00
20250304,1741017600000,31.45,32.11,31.0,32.04,6371,20266438.0,0.0,15,31.59,0,2025-03-03 16:00:00
20250305,1741104000000,32.08,32.24,31.39,31.89,6513,20625658.999999996,0.0,15,32.04,0,2025-03-04 16:00:00
20250306,1741190400000,31.970000000000002,33.63,31.92,33.29,15326,50624501.0,0.0,15,31.89,0,2025-03-05 16:00:00
20250307,1741276800000,33.11,33.85,32.85,33.83,13260,44312859.0,0.0,15,33.29,0,2025-03-06 16:00:00
20250310,1741536000000,34.2,34.800000000000004,33.92,34.17,19570,67193676.0,0.0,15,33.83,0,2025-03-09 16:00:00
20250311,1741622400000,33.910000000000004,34.42,33.59,34.31,9630,32693710.0,0.0,15,34.17,0,2025-03-10 16:00:00
20250312,1741708800000,34.31,34.81,34.11,34.72,9919,34244947.0,0.0,15,34.31,0,2025-03-11 16:00:00
20250313,1741795200000,34.65,34.65,33.26,33.75,9263,31218468.0,0.0,15,34.72,0,2025-03-12 16:00:00
20250314,1741881600000,34.08,35.089999999999996,33.44,34.71,12637,43376560.0,0.0,15,33.75,0,2025-03-13 16:00:00
20250317,1742140800000,34.72,35.63,34.54,35.33,13073,45970451.0,0.0,15,34.71,0,2025-03-16 16:00:00
20250318,1742227200000,35.33,35.83,35.11,35.68,11293,40124248.0,0.0,15,35.33,0,2025-03-17 16:00:00
20250319,1742313600000,35.83,35.83,35.11,35.31,8638,30548976.0,0.0,15,35.68,0,2025-03-18 16:00:00
20250320,1742400000000,36.269999999999996,36.269999999999996,35.01,35.449999999999996,13942,49792640.00000001,0.0,15,35.309999999999995,0,2025-03-19 16:00:00
20250321,1742486400000,35.25,36.94,34.9,36.199999999999996,20487,73895017.0,0.0,15,35.449999999999996,0,2025-03-20 16:00:00
20250324,1742745600000,36.449999999999996,43.44,36.37,41.12,91161,376575802.0,0.0,15,36.199999999999996,0,2025-03-23 16:00:00
20250325,1742832000000,39.0,39.4,37.36,38.57,60779,232754394.99999997,0.0,15,41.12,0,2025-03-24 16:00:00
20250326,1742918400000,38.1,38.440000000000005,36.2,36.830000000000005,47271,175891945.0,0.0,15,38.57,0,2025-03-25 16:00:00
20250327,1743004800000,36.92,38.5,34.9,38.41,41156,150499183.0,0.0,15,36.83,0,2025-03-26 16:00:00
20250328,1743091200000,38.03,38.03,36.28,37.06,27663,102522774.0,0.0,15,38.410000000000004,0,2025-03-27 16:00:00
20250331,1743350400000,36.650000000000006,42.0,36.38,39.6,49750,197929445.0,0.0,15,37.06,0,2025-03-30 16:00:00
20250401,1743436800000,40.54,45.58,39.99,44.22,58209,253859657.0,0.0,15,39.6,0,2025-03-31 16:00:00
20250402,1743523200000,41.22,53.06,41.22,53.06,84136,417721014.0,0.0,15,44.22,0,2025-04-01 16:00:00
20250403,1743609600000,53.92,55.69,51.0,51.9,72166,383995695.99999994,0.0,15,53.06,0,2025-04-02 16:00:00
20250407,1743955200000,46.83,51.2,43.21,45.230000000000004,77148,358115106.0,0.0,15,51.9,0,2025-04-06 16:00:00
20250408,1744041600000,47.4,50.5,46.29,47.29,54009,259519505.0,0.0,15,45.23,0,2025-04-07 16:00:00
20250409,1744128000000,45.9,47.57,41.15,47.12,53915,242015371.0,0.0,15,47.29,0,2025-04-08 16:00:00
20250410,1744214400000,48.01,52.5,48.01,49.9,58522,292707878.0,0.0,15,47.12,0,2025-04-09 16:00:00
20250411,1744300800000,48.989999999999995,52.8,48.51,50.57,52918,270272705.00000006,0.0,15,49.9,0,2025-04-10 16:00:00
20250414,1744560000000,50.25,51.9,48.71,49.45,40191,201136924.00000003,0.0,15,50.57,0,2025-04-13 16:00:00
20250415,1744646400000,49.0,50.1,47.13,47.38,33231,159425010.0,0.0,15,49.45,0,2025-04-14 16:00:00
20250416,1744732800000,47.199999999999996,47.449999999999996,44.62,46.87,30071,138928114.0,0.0,15,47.379999999999995,0,2025-04-15 16:00:00
20250417,1744819200000,46.690000000000005,48.28,45.980000000000004,46.64,21538,101774573.0,0.0,15,46.870000000000005,0,2025-04-16 16:00:00
20250418,1744905600000,46.89,47.57,45.67,46.7,15785,73393722.99999999,0.0,15,46.64,0,2025-04-17 16:00:00
20250421,1745164800000,46.800000000000004,47.900000000000006,45.31,47.27,19847,93384913.0,0.0,15,46.7,0,2025-04-20 16:00:00
20250422,1745251200000,47.120000000000005,48.940000000000005,45.99,48.510000000000005,29546,141951047.99999997,0.0,15,47.27,0,2025-04-21 16:00:00
20250423,1745337600000,47.78,48.7,47.57,48.52,17608,84831670.00000001,0.0,15,48.51,0,2025-04-22 16:00:00
20250424,1745424000000,48.6,53.5,48.01,52.8,41963,212503152.0,0.0,15,48.519999999999996,0,2025-04-23 16:00:00
20250425,1745510400000,52.019999999999996,55.0,50.22,52.3,38133,200627362.0,0.0,15,52.8,0,2025-04-24 16:00:00
20250428,1745769600000,49.910000000000004,54.36000000000001,49.910000000000004,51.470000000000006,30722,161481486.0,0.0,15,52.300000000000004,0,2025-04-27 16:00:00
20250429,1745856000000,51.79,54.489999999999995,50.9,54.019999999999996,27424,145299091.0,0.0,15,51.47,0,2025-04-28 16:00:00
20250430,1745942400000,53.96,54.5,52.4,53.839999999999996,21351,114581595.0,0.0,15,54.019999999999996,0,2025-04-29 16:00:00
20250506,1746460800000,53.44,56.48,53.44,55.57,20707,113391080.0,0.0,15,53.839999999999996,0,2025-05-05 16:00:00
20250507,1746547200000,56.08,63.9,56.0,63.0,39134,238128974.00000003,0.0,15,55.57,0,2025-05-06 16:00:00
20250508,1746633600000,62.35,67.3,60.09,64.66,31951,206362943.0,0.0,15,63.0,0,2025-05-07 16:00:00
20250509,1746720000000,65.0,75.0,64.5,68.95,48800,340546754.0,0.0,15,64.66,0,2025-05-08 16:00:00
20250512,1746979200000,66.44,69.4,63.85,65.6,41181,270572216.0,0.0,15,68.95,0,2025-05-11 16:00:00
20250513,1747065600000,68.0,74.78999999999999,65.88,69.53,46389,323748104.99999994,0.0,15,65.6,0,2025-05-12 16:00:00
20250514,1747152000000,69.03,71.86,64.7,65.67,36727,244001329.99999997,0.0,15,69.53,0,2025-05-13 16:00:00
20250515,1747238400000,67.00999999999999,70.8,65.77,69.19,34901,239517127.0,0.0,15,65.67,0,2025-05-14 16:00:00
20250516,1747324800000,70.56,71.94000000000001,66.21000000000001,68.30000000000001,23554,160328133.0,0.0,15,69.19000000000001,0,2025-05-15 16:00:00
20250519,1747584000000,68.87,68.87,65.67,67.72,18659,124735339.0,0.0,15,68.3,0,2025-05-18 16:00:00
20250520,1747670400000,67.73,68.87,65.0,65.0,17516,116145028.0,0.0,15,67.72,0,2025-05-19 16:00:00
20250521,1747756800000,46.89,47.6,37.14,45.42,71059,307977671.0,0.0,15,46.43,0,2025-05-20 16:00:00
20250522,1747843200000,43.81,47.0,43.81,44.6,37193,166823524.0,0.0,15,45.42,0,2025-05-21 16:00:00
20250523,1747929600000,44.87,45.449999999999996,43.01,43.01,27317,119976451.0,0.0,15,44.6,0,2025-05-22 16:00:00
20250526,1748188800000,42.86,45.61,42.43,45.26,39201,173344843.0,0.0,15,43.01,0,2025-05-25 16:00:00
20250527,1748275200000,45.550000000000004,46.39,44.34,45.36000000000001,24730,111551387.00000001,0.0,15,45.260000000000005,0,2025-05-26 16:00:00
20250528,1748361600000,45.589999999999996,46.199999999999996,41.4,42.18,42436,181478546.0,0.0,15,45.36,0,2025-05-27 16:00:00
20250529,1748448000000,42.67,48.1,41.67,46.300000000000004,56505,258483166.00000003,0.0,15,42.18,0,2025-05-28 16:00:00
20250530,1748534400000,46.85,48.510000000000005,44.980000000000004,47.75000000000001,49502,231565188.0,0.0,15,46.300000000000004,0,2025-05-29 16:00:00
20250603,1748880000000,48.44,48.98,46.9,47.39,35149,167563868.0,0.0,15,47.75,0,2025-06-02 16:00:00
20250604,1748966400000,47.42,49.49,45.24,48.440000000000005,38502,181395758.0,0.0,15,47.39,0,2025-06-03 16:00:00
20250605,1749052800000,48.440000000000005,49.900000000000006,46.49,48.93,32509,156710264.0,0.0,15,48.440000000000005,0,2025-06-04 16:00:00
20250606,1749139200000,48.730000000000004,49.02,47.09,48.660000000000004,23108,111069036.00000001,0.0,15,48.93000000000001,0,2025-06-05 16:00:00
20250609,1749398400000,48.300000000000004,50.32000000000001,48.300000000000004,50.050000000000004,23099,114327028.0,0.0,15,48.660000000000004,0,2025-06-08 16:00:00
20250610,1749484800000,50.49,50.49,47.77,47.980000000000004,26274,128311210.0,0.0,15,50.050000000000004,0,2025-06-09 16:00:00
20250611,1749571200000,47.99,49.03,47.5,47.96,18141,87269779.0,0.0,15,47.98,0,2025-06-10 16:00:00
20250612,1749657600000,47.92,51.49,47.38,50.830000000000005,27407,137843788.0,0.0,15,47.96,0,2025-06-11 16:00:00
20250613,1749744000000,51.2,51.2,47.0,47.15,26772,128864300.00000001,0.0,15,50.83,0,2025-06-12 16:00:00
20250616,1750003200000,47.3,47.699999999999996,46.54,46.87,11581,54565899.0,0.0,15,47.15,0,2025-06-15 16:00:00
20250617,1750089600000,46.870000000000005,46.940000000000005,44.800000000000004,45.74,16924,77152381.00000001,0.0,15,46.870000000000005,0,2025-06-16 16:00:00
20250618,1750176000000,45.89,46.31,44.65,45.15,11594,52527852.99999999,0.0,15,45.74,0,2025-06-17 16:00:00
20250619,1750262400000,44.7,45.15,43.5,43.51,13240,58423449.0,0.0,15,45.15,0,2025-06-18 16:00:00
20250620,1750348800000,43.510000000000005,44.1,42.800000000000004,43.61000000000001,9255,40238106.0,0.0,15,43.510000000000005,0,2025-06-19 16:00:00
20250623,1750608000000,43.46,43.7,42.32,43.32,8338,35888908.99999999,0.0,15,43.61,0,2025-06-22 16:00:00
20250624,1750694400000,43.730000000000004,43.940000000000005,42.52,43.800000000000004,10058,43548331.0,0.0,15,43.32,0,2025-06-23 16:00:00
20250625,1750780800000,43.8,44.16,43.01,43.669999999999995,12074,52666175.00000001,0.0,15,43.8,0,2025-06-24 16:00:00
20250626,1750867200000,43.81,44.59,43.230000000000004,43.400000000000006,11187,49006404.0,0.0,15,43.67,0,2025-06-25 16:00:00
20250627,1750953600000,44.0,44.74,43.5,44.19,13599,59868840.0,0.0,15,43.4,0,2025-06-26 16:00:00
20250630,1751212800000,44.2,45.57,44.07,44.86,12397,55511125.0,0.0,15,44.19,0,2025-06-29 16:00:00
20250701,1751299200000,45.269999999999996,45.36,43.58,44.449999999999996,10154,44832512.0,0.0,15,44.86,0,2025-06-30 16:00:00
