date,time,open,high,low,close,volume,amount,settelementPrice,openInterest,preClose,suspendFlag,datetime
20250102,1735747200000,3.23,3.25,3.12,3.17,420290,133671002.0,0.0,15,3.3200000000000003,0,2025-01-01 16:00:00
20250103,1735833600000,3.16,3.17,3.06,3.07,266701,83019268.0,0.0,15,3.17,0,2025-01-02 16:00:00
20250106,1736092800000,3.04,3.13,3.02,3.09,156500,48166617.0,0.0,15,3.07,0,2025-01-05 16:00:00
20250107,1736179200000,3.09,3.1,3.04,3.08,120540,37014148.00000001,0.0,15,3.09,0,2025-01-06 16:00:00
20250108,1736265600000,3.0700000000000003,3.08,2.99,3.04,152595,46197525.0,0.0,15,3.08,0,2025-01-07 16:00:00
20250109,1736352000000,3.03,3.05,3.02,3.04,111909,33959605.0,0.0,15,3.04,0,2025-01-08 16:00:00
20250110,1736438400000,3.03,3.05,2.96,2.9699999999999998,132982,39896747.0,0.0,15,3.04,0,2025-01-09 16:00:00
20250113,1736697600000,2.95,3.02,2.91,3.02,127767,38106922.0,0.0,15,2.97,0,2025-01-12 16:00:00
20250114,1736784000000,3.0100000000000002,3.08,3.0100000000000002,3.0700000000000003,153893,46889783.0,0.0,15,3.02,0,2025-01-13 16:00:00
20250115,1736870400000,3.06,3.0900000000000003,3.0300000000000002,3.08,98801,30240890.0,0.0,15,3.0700000000000003,0,2025-01-14 16:00:00
20250116,1736956800000,3.1,3.17,3.1,3.14,173394,54422521.0,0.0,15,3.08,0,2025-01-15 16:00:00
20250117,1737043200000,3.12,3.24,3.0700000000000003,3.2100000000000004,219233,69416576.99999999,0.0,15,3.14,0,2025-01-16 16:00:00
20250120,1737302400000,3.21,3.29,3.18,3.25,184630,60077945.0,0.0,15,3.21,0,2025-01-19 16:00:00
20250121,1737388800000,3.27,3.27,3.18,3.2,135512,43671194.0,0.0,15,3.25,0,2025-01-20 16:00:00
20250122,1737475200000,3.1799999999999997,3.19,3.13,3.17,81280,25660382.000000004,0.0,15,3.1999999999999997,0,2025-01-21 16:00:00
20250123,1737561600000,3.17,3.22,3.16,3.16,119140,37923122.00000001,0.0,15,3.17,0,2025-01-22 16:00:00
20250124,1737648000000,3.15,3.21,3.12,3.21,203666,64436210.00000001,0.0,15,3.16,0,2025-01-23 16:00:00
20250127,1737907200000,3.21,3.33,3.21,3.27,306379,100865068.0,0.0,15,3.21,0,2025-01-26 16:00:00
20250205,1738684800000,3.29,3.29,3.22,3.2600000000000002,148853,48520122.0,0.0,15,3.27,0,2025-02-04 16:00:00
20250206,1738771200000,3.2800000000000002,3.29,3.22,3.2600000000000002,164349,53390556.0,0.0,15,3.2600000000000002,0,2025-02-05 16:00:00
20250207,1738857600000,3.25,3.5,3.24,3.4000000000000004,439860,148531379.0,0.0,15,3.2600000000000002,0,2025-02-06 16:00:00
20250210,1739116800000,3.41,3.45,3.37,3.43,255996,87298877.0,0.0,15,3.4,0,2025-02-09 16:00:00
20250211,1739203200000,3.42,3.42,3.33,3.37,186256,62630774.99999999,0.0,15,3.43,0,2025-02-10 16:00:00
