ts_code,trade_date,buy_sm_vol,buy_sm_amount,sell_sm_vol,sell_sm_amount,buy_md_vol,buy_md_amount,sell_md_vol,sell_md_amount,buy_lg_vol,buy_lg_amount,sell_lg_vol,sell_lg_amount,buy_elg_vol,buy_elg_amount,sell_elg_vol,sell_elg_amount,net_mf_vol,net_mf_amount
600509.SH,20260202,136733,11545.72,159490,13451.02,116651,9841.27,107758,9095.52,54573,4611.42,44634,3772.74,12346,1035.73,8421,714.86,-94735,-7964.81
603828.SH,20260202,20511,1424.91,22353,1554.02,19449,1351.05,22435,1556.77,19185,1327.91,12084,836.39,3408,235.22,5681,391.91,5991,416.71
688596.SH,20260202,36807,12128.93,37711,12424.61,29873,9842.41,26532,8744.31,16040,5280.57,16688,5489.0,6105,1997.6,7893,2591.58,-9042,-2946.07
300829.SZ,20260202,38389,7068.04,27116,4996.59,29013,5345.36,30684,5655.84,13693,2524.94,20483,3770.79,285,52.44,3097,567.58,-8344,-1542.67
600793.SH,20260202,22482,4628.6,22365,4601.24,13674,2816.45,11852,2440.54,7403,1522.75,7621,1570.74,0,0.0,1721,355.28,-9957,-2037.87
002873.SZ,20260202,29299,3027.25,27277,2816.58,15869,1638.22,16830,1740.33,4608,476.23,5668,584.8,0,0.0,0,0.0,-282,-23.18
688625.SH,20260202,20012,12367.24,21589,13339.48,14832,9169.61,14585,9014.39,11576,7157.04,11067,6847.86,2410,1490.14,1589,982.3,694,433.87
300483.SZ,20260202,113793,18043.91,64771,10270.8,101802,16102.81,111752,17703.29,70681,11162.46,87021,13756.69,16976,2688.38,39708,6266.77,-2204,-312.09
000798.SZ,20260202,205604,23379.41,205422,23372.93,197932,22544.17,165444,18834.85,97596,11120.28,113074,12896.47,19791,2264.58,36983,4204.2,-54548,-6171.3
000758.SZ,20260202,737986,53964.89,540905,39601.12,634519,46410.94,599828,43894.93,507690,37156.76,561739,41062.21,233290,17116.84,411012,30091.17,-72077,-5095.26
605011.SH,20260202,18899,3893.61,15844,3262.43,10320,2124.58,10235,2109.79,4516,930.21,7715,1589.34,628,129.76,569,116.59,2673,557.94
002276.SZ,20260202,136393,23008.15,150457,25394.73,152693,25777.29,122655,20695.01,86516,14614.36,82563,13932.09,20752,3504.98,40680,6882.95,-18103,-2991.04
000993.SZ,20260202,51610,6314.21,55977,6849.82,44673,5468.04,36096,4420.19,18135,2221.75,22745,2784.57,7394,909.19,6994,858.61,-4294,-516.19
003005.SZ,20260202,21724,4442.75,18869,3858.99,16166,3302.4,17600,3598.74,5261,1076.43,7119,1454.44,1220,250.58,783,159.99,-2333,-473.29
601068.SH,20260202,339354,19959.28,333322,19591.68,110672,6491.46,113813,6679.0,51085,2987.03,53829,3153.7,20658,1199.09,20806,1212.48,-81620,-4786.54
