date,time,open,high,low,close,volume,amount,settelementPrice,openInterest,preClose,suspendFlag,datetime
20230103,1672675200000,5.8,6.18,5.8,5.97,99741,59763888.0,0.0,15,5.74,0,2023-01-02 16:00:00
20230104,1672761600000,5.91,5.97,5.83,5.93,67420,39636475.0,0.0,15,5.97,0,2023-01-03 16:00:00
20230105,1672848000000,5.86,5.99,5.8100000000000005,5.94,48518,28784163.0,0.0,15,5.930000000000001,0,2023-01-04 16:00:00
20230106,1672934400000,5.97,5.99,5.87,5.97,51587,30645028.0,0.0,15,5.94,0,2023-01-05 16:00:00
20230109,1673193600000,5.99,6.15,5.92,5.96,86077,51850905.0,0.0,15,5.97,0,2023-01-08 16:00:00
20230110,1673280000000,5.95,5.95,5.76,5.85,58178,33964158.0,0.0,15,5.96,0,2023-01-09 16:00:00
20230111,1673366400000,5.7,5.99,5.6000000000000005,5.9,106425,61961568.0,0.0,15,5.8500000000000005,0,2023-01-10 16:00:00
20230112,1673452800000,5.93,6.08,5.76,5.779999999999999,93279,55102951.99999999,0.0,15,5.8999999999999995,0,2023-01-11 16:00:00
20230113,1673539200000,5.76,5.78,5.62,5.66,58122,33022011.0,0.0,15,5.78,0,2023-01-12 16:00:00
20230116,1673798400000,5.63,5.73,5.62,5.7,33881,19268818.0,0.0,15,5.66,0,2023-01-15 16:00:00
20230117,1673884800000,5.7,5.74,5.66,5.68,22441,12784182.999999998,0.0,15,5.7,0,2023-01-16 16:00:00
20230118,1673971200000,5.71,5.74,5.67,5.71,16766,9546373.0,0.0,15,5.68,0,2023-01-17 16:00:00
20230119,1674057600000,5.67,5.74,5.67,5.7,22248,12707266.000000002,0.0,15,5.71,0,2023-01-18 16:00:00
20230120,1674144000000,5.7,5.7700000000000005,5.69,5.75,21607,12421897.999999998,0.0,15,5.7,0,2023-01-19 16:00:00
20230130,1675008000000,5.8,5.84,5.74,5.84,44669,25832900.0,0.0,15,5.75,0,2023-01-29 16:00:00
