date,time,open,high,low,close,volume,amount,settelementPrice,openInterest,preClose,suspendFlag,datetime
20260105,1767542400000,8.95,8.959999999999999,8.61,8.68,301213,263159187.0,0.0,15,9.07,0,2026-01-04 16:00:00
20260106,1767628800000,8.68,8.9,8.67,8.88,235651,208161509.00000003,0.0,15,8.68,0,2026-01-05 16:00:00
20260107,1767715200000,8.89,8.9,8.66,8.68,161867,141553297.0,0.0,15,8.88,0,2026-01-06 16:00:00
20260108,1767801600000,8.65,8.97,8.65,8.91,188122,166703278.0,0.0,15,8.68,0,2026-01-07 16:00:00
20260109,1767888000000,8.9,8.97,8.790000000000001,8.83,152074,134541309.0,0.0,15,8.91,0,2026-01-08 16:00:00
20260112,1768147200000,8.84,8.870000000000001,8.72,8.81,228361,200211741.0,0.0,15,8.83,0,2026-01-11 16:00:00
20260113,1768233600000,8.8,8.83,8.65,8.68,218827,190533103.0,0.0,15,8.81,0,2026-01-12 16:00:00
20260114,1768320000000,8.68,8.74,8.53,8.58,280845,242735533.00000003,0.0,15,8.68,0,2026-01-13 16:00:00
20260115,1768406400000,8.58,8.59,8.51,8.54,128914,110124453.00000001,0.0,15,8.58,0,2026-01-14 16:00:00
20260116,1768492800000,8.58,8.69,8.52,8.549999999999999,189389,162697744.00000003,0.0,15,8.54,0,2026-01-15 16:00:00
20260119,1768752000000,8.54,8.68,8.51,8.64,136459,117614612.0,0.0,15,8.549999999999999,0,2026-01-18 16:00:00
20260120,1768838400000,8.61,8.7,8.6,8.66,148877,128921944.0,0.0,15,8.639999999999999,0,2026-01-19 16:00:00
20260121,1768924800000,8.64,8.780000000000001,8.620000000000001,8.690000000000001,204677,178216378.0,0.0,15,8.66,0,2026-01-20 16:00:00
20260122,1769011200000,8.709999999999999,8.87,8.68,8.84,217760,191803079.0,0.0,15,8.69,0,2026-01-21 16:00:00
20260123,1769097600000,8.89,9.080000000000002,8.870000000000001,8.930000000000001,250739,224945652.0,0.0,15,8.840000000000002,0,2026-01-22 16:00:00
20260126,1769356800000,8.9,8.930000000000001,8.8,8.88,162057,143684604.0,0.0,15,8.930000000000001,0,2026-01-25 16:00:00
20260127,1769443200000,8.88,8.88,8.65,8.700000000000001,155946,135971357.0,0.0,15,8.88,0,2026-01-26 16:00:00
20260128,1769529600000,8.71,8.98,8.620000000000001,8.790000000000001,259252,227888445.0,0.0,15,8.700000000000001,0,2026-01-27 16:00:00
20260129,1769616000000,8.780000000000001,8.89,8.71,8.8,165493,145616091.0,0.0,15,8.790000000000001,0,2026-01-28 16:00:00
20260130,1769702400000,8.82,8.9,8.65,8.790000000000001,145336,127520751.0,0.0,15,8.8,0,2026-01-29 16:00:00
20260202,1769961600000,8.75,8.77,8.52,8.53,162889,140815477.0,0.0,15,8.79,0,2026-02-01 16:00:00
