date,time,open,high,low,close,volume,amount,settelementPrice,openInterest,preClose,suspendFlag,datetime
20260105,1767542400000,7.68,7.71,7.67,7.71,336011,258494849.0,0.0,15,7.67,0,2026-01-04 16:00:00
20260106,1767628800000,7.7,7.79,7.69,7.7700000000000005,479142,371181863.0,0.0,15,7.71,0,2026-01-05 16:00:00
20260107,1767715200000,7.77,7.84,7.76,7.79,454649,354968224.0,0.0,15,7.77,0,2026-01-06 16:00:00
20260108,1767801600000,7.79,7.81,7.75,7.8,329524,256507306.0,0.0,15,7.79,0,2026-01-07 16:00:00
20260109,1767888000000,7.800000000000001,7.8100000000000005,7.7700000000000005,7.800000000000001,412946,321721368.0,0.0,15,7.800000000000001,0,2026-01-08 16:00:00
20260112,1768147200000,7.79,7.82,7.78,7.8100000000000005,494775,386051887.0,0.0,15,7.8,0,2026-01-11 16:00:00
20260113,1768233600000,7.8100000000000005,7.87,7.78,7.82,706903,553104471.0,0.0,15,7.8100000000000005,0,2026-01-12 16:00:00
20260114,1768320000000,7.82,7.8500000000000005,7.66,7.67,1280636,992352392.0000001,0.0,15,7.82,0,2026-01-13 16:00:00
20260115,1768406400000,7.67,7.7,7.66,7.67,562237,431426058.0,0.0,15,7.67,0,2026-01-14 16:00:00
20260116,1768492800000,7.68,7.87,7.51,7.529999999999999,2380155,1819159123.0,0.0,15,7.67,0,2026-01-15 16:00:00
20260119,1768752000000,7.5200000000000005,7.55,7.45,7.51,607626,456124405.0,0.0,15,7.53,0,2026-01-18 16:00:00
20260120,1768838400000,7.51,7.65,7.5,7.64,855030,648816518.9999999,0.0,15,7.51,0,2026-01-19 16:00:00
20260121,1768924800000,7.63,7.65,7.58,7.6,637674,485692979.0,0.0,15,7.64,0,2026-01-20 16:00:00
20260122,1769011200000,7.6000000000000005,7.670000000000001,7.5200000000000005,7.53,1128847,852718361.9999999,0.0,15,7.6000000000000005,0,2026-01-21 16:00:00
20260123,1769097600000,7.54,7.55,7.37,7.39,1830676,1364655140.0,0.0,15,7.53,0,2026-01-22 16:00:00
20260126,1769356800000,7.4,7.500000000000001,7.3100000000000005,7.49,3118419,2309570987.0,0.0,15,7.390000000000001,0,2026-01-25 16:00:00
20260127,1769443200000,7.45,7.45,7.32,7.33,1520163,1119444179.0,0.0,15,7.49,0,2026-01-26 16:00:00
20260128,1769529600000,7.33,7.59,7.3,7.319999999999999,4114791,3052881492.0,0.0,15,7.33,0,2026-01-27 16:00:00
20260129,1769616000000,7.36,7.38,7.21,7.33,2596811,1887278693.0,0.0,15,7.32,0,2026-01-28 16:00:00
20260130,1769702400000,7.31,7.39,7.25,7.27,1394045,1020258434.0000001,0.0,15,7.33,0,2026-01-29 16:00:00
20260202,1769961600000,7.25,7.26,7.12,7.13,1437602,1035729174.0000001,0.0,15,7.2700000000000005,0,2026-02-01 16:00:00
