date,time,open,high,low,close,volume,amount,settelementPrice,openInterest,preClose,suspendFlag,datetime
20260105,1767542400000,7.28,7.32,7.16,7.23,71704,51736114.0,0.0,15,7.24,0,2026-01-04 16:00:00
20260106,1767628800000,7.2299999999999995,7.3,7.17,7.22,88087,63641474.0,0.0,15,7.2299999999999995,0,2026-01-05 16:00:00
20260107,1767715200000,7.220000000000001,7.260000000000001,7.15,7.2,69243,49852899.0,0.0,15,7.220000000000001,0,2026-01-06 16:00:00
20260108,1767801600000,7.180000000000001,7.45,7.15,7.41,90927,66782261.0,0.0,15,7.2,0,2026-01-07 16:00:00
20260109,1767888000000,7.42,7.46,7.25,7.36,93287,68511061.0,0.0,15,7.41,0,2026-01-08 16:00:00
20260112,1768147200000,7.3500000000000005,7.48,7.3100000000000005,7.390000000000001,104134,76988416.0,0.0,15,7.36,0,2026-01-11 16:00:00
20260113,1768233600000,7.4,7.470000000000001,7.32,7.3500000000000005,88727,65439130.99999999,0.0,15,7.390000000000001,0,2026-01-12 16:00:00
20260114,1768320000000,7.33,7.6499999999999995,7.3,7.46,125081,93413417.0,0.0,15,7.35,0,2026-01-13 16:00:00
20260115,1768406400000,7.4,7.540000000000001,7.390000000000001,7.420000000000001,55480,41276045.00000001,0.0,15,7.460000000000001,0,2026-01-14 16:00:00
20260116,1768492800000,7.46,7.47,7.34,7.42,71571,52882525.00000001,0.0,15,7.42,0,2026-01-15 16:00:00
20260119,1768752000000,7.43,7.5200000000000005,7.37,7.51,65613,48984436.0,0.0,15,7.42,0,2026-01-18 16:00:00
20260120,1768838400000,7.57,7.680000000000001,7.5200000000000005,7.58,74630,56741144.00000001,0.0,15,7.510000000000001,0,2026-01-19 16:00:00
20260121,1768924800000,7.62,8.07,7.58,7.97,180789,142229962.0,0.0,15,7.58,0,2026-01-20 16:00:00
20260122,1769011200000,7.82,7.870000000000001,7.6000000000000005,7.680000000000001,174867,134132121.00000001,0.0,15,7.970000000000001,0,2026-01-21 16:00:00
20260123,1769097600000,7.67,8.05,7.63,7.97,161930,127953656.99999999,0.0,15,7.68,0,2026-01-22 16:00:00
20260126,1769356800000,7.98,8.02,7.73,7.7700000000000005,132684,103918189.0,0.0,15,7.970000000000001,0,2026-01-25 16:00:00
20260127,1769443200000,7.78,7.85,7.37,7.75,142571,108596894.0,0.0,15,7.7700000000000005,0,2026-01-26 16:00:00
20260128,1769529600000,7.79,7.79,7.59,7.64,73137,56064767.0,0.0,15,7.75,0,2026-01-27 16:00:00
20260129,1769616000000,7.6000000000000005,7.680000000000001,7.49,7.5200000000000005,63592,48254196.99999999,0.0,15,7.640000000000001,0,2026-01-28 16:00:00
20260130,1769702400000,7.55,7.57,7.34,7.54,93907,70079697.0,0.0,15,7.52,0,2026-01-29 16:00:00
20260202,1769961600000,7.590000000000001,7.640000000000001,7.36,7.44,99986,75019000.0,0.0,15,7.54,0,2026-02-01 16:00:00
