date,time,open,high,low,close,volume,amount,settelementPrice,openInterest,preClose,suspendFlag,datetime
20260105,1767542400000,19.099999999999998,19.509999999999998,18.97,19.47,47406,91585338.0,0.0,15,19.049999999999997,0,2026-01-04 16:00:00
20260106,1767628800000,19.47,19.85,19.41,19.78,61202,120592810.0,0.0,15,19.47,0,2026-01-05 16:00:00
20260107,1767715200000,19.75,19.810000000000002,19.53,19.560000000000002,48405,95131201.00000001,0.0,15,19.78,0,2026-01-06 16:00:00
20260108,1767801600000,19.5,20.08,19.5,19.9,57821,114811709.00000001,0.0,15,19.56,0,2026-01-07 16:00:00
20260109,1767888000000,19.87,20.3,19.77,20.22,67148,135194906.0,0.0,15,19.9,0,2026-01-08 16:00:00
20260112,1768147200000,20.32,20.400000000000002,20.12,20.400000000000002,84218,170734161.0,0.0,15,20.220000000000002,0,2026-01-11 16:00:00
20260113,1768233600000,20.39,20.39,19.830000000000002,19.900000000000002,63447,127447395.0,0.0,15,20.400000000000002,0,2026-01-12 16:00:00
20260114,1768320000000,19.95,20.37,19.68,19.98,76784,154201675.0,0.0,15,19.9,0,2026-01-13 16:00:00
20260115,1768406400000,20.0,20.24,19.84,20.14,52539,105316482.0,0.0,15,19.98,0,2026-01-14 16:00:00
20260116,1768492800000,20.16,20.59,20.01,20.430000000000003,81156,164872918.0,0.0,15,20.14,0,2026-01-15 16:00:00
20260119,1768752000000,20.3,20.43,20.25,20.31,44709,90900259.00000001,0.0,15,20.43,0,2026-01-18 16:00:00
20260120,1768838400000,20.310000000000002,20.42,19.96,20.12,44778,90374860.0,0.0,15,20.310000000000002,0,2026-01-19 16:00:00
20260121,1768924800000,20.0,20.44,19.94,20.35,45748,92808907.00000001,0.0,15,20.12,0,2026-01-20 16:00:00
20260122,1769011200000,20.35,20.69,20.3,20.51,51282,105156496.00000001,0.0,15,20.35,0,2026-01-21 16:00:00
20260123,1769097600000,20.57,20.880000000000003,20.46,20.87,65936,136454478.0,0.0,15,20.51,0,2026-01-22 16:00:00
20260126,1769356800000,20.86,20.86,20.06,20.27,72894,148480585.0,0.0,15,20.869999999999997,0,2026-01-25 16:00:00
20260127,1769443200000,20.18,20.310000000000002,19.48,20.21,57712,114874101.0,0.0,15,20.27,0,2026-01-26 16:00:00
20260128,1769529600000,20.2,20.33,19.7,19.8,43759,87112645.00000001,0.0,15,20.21,0,2026-01-27 16:00:00
20260129,1769616000000,19.990000000000002,20.19,19.330000000000002,19.380000000000003,68006,134187492.00000001,0.0,15,19.8,0,2026-01-28 16:00:00
20260130,1769702400000,19.46,19.56,18.93,19.44,44901,86606071.0,0.0,15,19.38,0,2026-01-29 16:00:00
20260202,1769961600000,19.430000000000003,19.630000000000003,19.080000000000002,19.110000000000003,30259,58625706.00000001,0.0,15,19.44,0,2026-02-01 16:00:00
