trade_date,ts_code,name,close,pct_change,turnover_rate,amount,l_sell,l_buy,l_amount,net_amount,net_rate,amount_rate,float_values,reason
20230209,000829.SZ,天音控股,11.47,9.9712,6.39,727475143.0,61370635.33,114853535.6,176224170.93,53482900.27,7.35,24.22,11746767303.43,日涨幅偏离值达到7%的前5只证券
20230209,000977.SZ,浪潮信息,29.67,10.0111,9.15,3781911754.0,242443177.02,402868293.36,645311470.38,160425116.34,4.24,17.06,43365136693.86,日涨幅偏离值达到7%的前5只证券
20230209,001255.SZ,博菲电气,43.2,10.0076,47.6,385906360.0,62630574.28,50073139.0,112703713.28,-12557435.28,-3.25,29.2,864000000.0,日换手率达到20%的前5只证券
20230209,001255.SZ,博菲电气,43.2,10.0076,47.6,645397036.0,68382600.06,78130658.0,146513258.06,9748057.94,1.51,22.7,864000000.0,连续三个交易日内，涨幅偏离值累计达到20%的证券
20230209,001283.SZ,豪鹏科技,65.02,2.297,31.44,412847532.0,48402679.67,31785873.0,80188552.67,-16616806.67,-4.02,19.42,1300400000.0,日换手率达到20%的前5只证券
20230209,002021.SZ,ST中捷,1.86,-5.102,0.32,8602142.0,5114280.0,2483858.0,7598138.0,-2630422.0,-30.58,88.33,1279294124.4,连续三个交易日内，跌幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券
20230209,002021.SZ,中捷资源,1.86,-5.102,0.32,8602142.0,5114280.0,2483858.0,7598138.0,-2630422.0,-30.58,88.33,1279294124.4,连续三个交易日内，跌幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券
20230209,002089.SZ,*ST新海,1.16,-4.918,0.08,3957612.0,3900882.0,797118.0,4698000.0,-3103764.0,-78.43,118.71,1446291394.16,连续三个交易日内，跌幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券
20230209,002089.SZ,新海退,1.16,-4.918,0.08,3957612.0,3900882.0,797118.0,4698000.0,-3103764.0,-78.43,118.71,1453423120.56,连续三个交易日内，跌幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券
20230209,002229.SZ,鸿博股份,10.84,10.0508,10.56,564654739.0,74437196.0,100945810.0,175383006.0,26508614.0,4.69,31.06,5355115022.84,日涨幅偏离值达到7%的前5只证券
20230209,002253.SZ,川大智胜,18.72,-0.9524,38.07,1532308418.0,184785910.5,74514881.52,259300792.02,-110271028.98,-7.2,16.92,3891961869.12,日换手率达到20%的前5只证券
20230209,002328.SZ,新朋股份,6.94,9.9842,19.08,736204069.0,40733967.42,73291206.0,114025173.42,32557238.58,4.42,15.49,3924479058.24,日涨幅偏离值达到7%的前5只证券
20230209,002328.SZ,新朋股份,6.94,9.9842,19.08,1166594008.0,70282385.54,98752725.0,169035110.54,28470339.46,2.44,14.49,3924479058.24,连续三个交易日内，涨幅偏离值累计达到20%的证券
20230209,002348.SZ,高乐股份,4.99,-7.7634,23.09,1021034077.0,192229846.96,110884375.0,303114221.96,-81345471.96,-7.97,29.69,4435992081.31,日跌幅偏离值达到7%的前5只证券
20230209,002598.SZ,山东章鼓,14.02,-0.9887,29.87,1194880843.0,107122729.37,74062015.8,181184745.17,-33060713.57,-2.77,15.16,3894513117.52,日换手率达到20%的前5只证券
