trade_date,ts_code,name,close,pct_change,turnover_rate,amount,l_sell,l_buy,l_amount,net_amount,net_rate,amount_rate,float_values,reason
20250319,000040.SZ,*ST旭蓝,0.74,-5.1282,0.58,24454386.0,4504412.72,3140374.0,7644786.72,-1364038.72,-5.58,31.26,780402512.6,连续三个交易日内，跌幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券
20250319,000409.SZ,云鼎科技,15.55,-2.9338,43.9,2991398037.0,368571874.23,218642484.3,587214358.53,-149929389.93,-5.01,19.63,6582987459.75,日换手率达到20%的前5只证券
20250319,000678.SZ,襄阳轴承,17.18,9.9872,21.78,1654530080.0,154874167.47,239426224.05,394300391.52,84552056.58,5.11,23.83,7896130672.46,日涨幅偏离值达到7%的前5只证券
20250319,000908.SZ,*ST景峰,4.64,4.9774,2.85,393078346.0,34121639.74,44772667.94,78894307.68,10651028.2,2.71,20.07,3660497795.68,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券
20250319,002086.SZ,东方海洋,3.25,-9.2179,27.95,1434991257.0,104130834.89,127287721.0,231418555.89,23156886.11,1.61,16.13,4930319195.75,日跌幅偏离值达到7%的前5只证券
20250319,002093.SZ,国脉科技,14.44,9.9772,25.2,3603875316.0,299774371.0,433182185.91,732956556.91,133407814.91,3.7,20.34,14539148650.0,日涨幅偏离值达到7%的前5只证券
20250319,002105.SZ,信隆健康,10.65,-9.2845,25.62,1027152058.0,94526777.71,70576459.97,165103237.68,-23950317.74,-2.33,16.07,3881626533.75,日跌幅偏离值达到7%的前5只证券
20250319,002162.SZ,悦心健康,4.74,-8.8462,13.98,626843678.0,74288710.49,62442160.0,136730870.49,-11846550.49,-1.89,21.81,4364103794.22,日跌幅偏离值达到7%的前5只证券
20250319,002196.SZ,方正电机,11.9,1.0187,44.55,2664202257.0,328629305.44,205550437.94,534179743.38,-123078867.5,-4.62,20.05,5812083843.3,日换手率达到20%的前5只证券
20250319,002227.SZ,奥特迅,15.48,10.0213,17.45,754511521.0,68470189.6,156740970.1,225211159.7,88270780.5,11.7,29.85,3833447586.84,连续三个交易日内，涨幅偏离值累计达到20%的证券
20250319,002276.SZ,万马股份,19.68,10.0056,31.15,5888006062.0,948078480.05,551756981.8,1499835461.85,-396321498.25,-6.73,25.47,19780040052.48,日涨幅偏离值达到7%的前5只证券
20250319,002276.SZ,万马股份,19.68,10.0056,31.15,10676225256.0,1253007295.41,1402397237.11,2655404532.52,149389941.7,1.4,24.87,19780040052.48,连续三个交易日内，涨幅偏离值累计达到20%的证券
20250319,002342.SZ,巨力索具,5.41,9.9593,34.58,1746879185.0,139182218.02,102944509.48,242126727.5,-36237708.54,-2.07,13.86,5164872900.0,日换手率达到20%的前5只证券
20250319,002553.SZ,南方精工,21.2,10.0156,53.25,2731677295.0,313283335.0,202065517.0,515348852.0,-111217818.0,-4.07,18.87,5316960000.0,日涨幅偏离值达到7%的前5只证券
20250319,002553.SZ,南方精工,21.2,10.0156,53.25,4100734456.0,340807390.0,319782751.0,660590141.0,-21024639.0,-0.51,16.11,5316960000.0,连续三个交易日内，涨幅偏离值累计达到20%的证券
20250319,002559.SZ,亚威股份,11.93,2.3156,43.86,2726436508.0,257185637.25,244443082.24,501628719.49,-12742555.01,-0.47,18.4,5971100357.78,日换手率达到20%的前5只证券
20250319,002570.SZ,贝因美,5.1,-8.7657,29.78,1686650707.0,130091513.25,179529157.76,309620671.01,49437644.51,2.93,18.36,5507976198.3,日跌幅偏离值达到7%的前5只证券
20250319,002574.SZ,明牌珠宝,8.0,-7.7278,30.03,1315155276.0,125451501.95,88639977.6,214091479.55,-36811524.35,-2.8,16.28,4224000000.0,日振幅值达到15%的前5只证券
20250319,002724.SZ,海洋王,7.29,-0.8163,20.98,880111891.0,77549789.68,69063057.81,146612847.49,-8486731.87,-0.96,16.66,4168171340.64,日振幅值达到15%的前5只证券
20250319,002903.SZ,宇环数控,22.3,10.0148,4.14,484652152.0,45858112.0,84813991.0,130672103.0,38955879.0,8.04,26.96,2321127322.1,连续三个交易日内，涨幅偏离值累计达到20%的证券
20250319,002905.SZ,金逸影视,8.78,-10.041,10.21,317002930.0,70117051.98,20884564.0,91001615.98,-49232487.98,-15.53,28.71,3068083200.0,日跌幅偏离值达到7%的前5只证券
20250319,002927.SZ,泰永长征,19.16,9.9885,15.71,837666342.0,79030269.6,63509636.7,142539906.3,-15520632.9,-1.85,17.02,4227512216.0,连续三个交易日内，涨幅偏离值累计达到20%的证券
20250319,300052.SZ,ST中青宝,11.97,-17.6754,32.64,1007997491.0,88550699.27,80162717.67,168713416.94,-8387981.6,-0.83,16.74,3134358983.7,日跌幅达到15%的前5只证券
20250319,300052.SZ,ST中青宝,11.97,-17.6754,32.64,1021755239.0,88550699.27,80495683.67,169046382.94,-8055015.6,-0.79,16.54,3134358983.7,连续三个交易日内，跌幅偏离值累计达到30%的证券
20250319,300154.SZ,瑞凌股份,13.1,18.3379,21.04,825101209.0,45157926.12,109258741.16,154416667.28,64100815.04,7.77,18.71,4130488308.1,日涨幅达到15%的前5只证券
20250319,300713.SZ,英可瑞,21.86,4.6935,42.95,806600834.0,182080168.18,39727547.15,221807715.33,-142352621.03,-17.65,27.5,1915687503.08,日换手率达到30%的前5只证券
20250319,300753.SZ,爱朋医疗,26.12,15.8829,40.59,868040957.0,72745117.81,71588839.1,144333956.91,-1156278.71,-0.13,16.63,2152520781.44,日涨幅达到15%的前5只证券
20250319,300789.SZ,唐源电气,27.85,17.9585,20.38,505166078.0,43375330.34,48554372.74,91929703.08,5179042.4,1.03,18.2,2752185180.5,日涨幅达到15%的前5只证券
