trade_date,ts_code,exalter,buy,buy_rate,sell,sell_rate,net_buy,side,reason
20211112,000049.SZ,东兴证券股份有限公司龙岩华莲路证券营业部,35134894.74,2.64,0.0,0.0,35134894.74,0,涨幅偏离值达7%的证券
20211112,000049.SZ,深股通专用,29859496.53,2.24,80665002.04,6.05,-50805505.51,0,涨幅偏离值达7%的证券
20211112,000049.SZ,中信证券股份有限公司北京总部证券营业部,21455767.0,1.61,165971.0,0.01,21289796.0,0,涨幅偏离值达7%的证券
20211112,000049.SZ,招商证券交易单元(353800),20768886.12,1.56,5829733.0,0.44,14939153.12,0,涨幅偏离值达7%的证券
20211112,000049.SZ,华鑫证券有限责任公司上海分公司,19498004.0,1.46,6024207.0,0.45,13473797.0,0,涨幅偏离值达7%的证券
20211112,000049.SZ,深股通专用,29859496.53,2.24,80665002.04,6.05,-50805505.51,1,涨幅偏离值达7%的证券
20211112,000049.SZ,招商证券股份有限公司深圳招商证券大厦证券营业部,5881385.0,0.44,16946038.31,1.27,-11064653.31,1,涨幅偏离值达7%的证券
20211112,000049.SZ,东兴证券股份有限公司福州五一中路证券营业部,277580.0,0.02,15212772.0,1.14,-14935192.0,1,涨幅偏离值达7%的证券
20211112,000049.SZ,广发证券股份有限公司泉州温陵路证券营业部,12184336.5,0.91,12784398.46,0.96,-600061.96,1,涨幅偏离值达7%的证券
20211112,000049.SZ,长城国瑞证券有限公司成都高升桥东路证券营业部,0.0,0.0,12204158.58,0.92,-12204158.58,1,涨幅偏离值达7%的证券
20211112,000400.SZ,深股通专用,64616801.8,5.6,56844305.4,4.93,7772496.4,0,涨幅偏离值达7%的证券
20211112,000400.SZ,华鑫证券有限责任公司上海分公司,45871495.28,3.98,2398498.0,0.21,43472997.28,0,涨幅偏离值达7%的证券
20211112,000400.SZ,兴业证券股份有限公司烟台分公司,38740014.35,3.36,18330.0,0.0,38721684.35,0,涨幅偏离值达7%的证券
20211112,000400.SZ,长江证券股份有限公司上海斜土路证券营业部,31048920.14,2.69,27920.0,0.0,31021000.14,0,涨幅偏离值达7%的证券
20211112,000400.SZ,华泰证券股份有限公司上海黄浦区来福士广场证券营业部,28035250.0,2.43,407894.0,0.04,27627356.0,0,涨幅偏离值达7%的证券
20211112,000400.SZ,深股通专用,64616801.8,5.6,56844305.4,4.93,7772496.4,1,涨幅偏离值达7%的证券
20211112,000400.SZ,机构专用,0.0,0.0,15402772.0,1.34,-15402772.0,1,涨幅偏离值达7%的证券
20211112,000400.SZ,安信证券股份有限公司深圳深南大道证券营业部,0.0,0.0,14794915.0,1.28,-14794915.0,1,涨幅偏离值达7%的证券
20211112,000400.SZ,财信证券有限责任公司长沙芙蓉中路证券营业部,17810.0,0.0,11640191.0,1.01,-11622381.0,1,涨幅偏离值达7%的证券
20211112,000400.SZ,机构专用,12362.0,0.0,10847428.0,0.94,-10835066.0,1,涨幅偏离值达7%的证券
20211112,000546.SZ,东方财富证券股份有限公司拉萨北京中路营业部,50357804.28,3.07,43065.0,0.0,50314739.28,0,振幅值达15%的证券
20211112,000546.SZ,中国国际金融股份有限公司上海黄浦区湖滨路证券营业部,38388560.98,2.34,15925750.74,0.97,22462810.24,0,振幅值达15%的证券
20211112,000546.SZ,招商证券股份有限公司深圳招商证券大厦证券营业部,34553510.05,2.1,18227914.0,1.11,16325596.05,0,振幅值达15%的证券
20211112,000546.SZ,机构专用,31148599.0,1.9,36716861.2,2.24,-5568262.2,0,振幅值达15%的证券
20211112,000546.SZ,中国国际金融股份有限公司上海分公司,28591874.0,1.74,23227670.0,1.41,5364204.0,0,振幅值达15%的证券
20211112,000546.SZ,国盛证券有限责任公司湖北分公司,0.0,0.0,38161879.97,2.32,-38161879.97,1,振幅值达15%的证券
20211112,000546.SZ,机构专用,31148599.0,1.9,36716861.2,2.24,-5568262.2,1,振幅值达15%的证券
20211112,000546.SZ,中信证券股份有限公司北京紫竹院路证券营业部,1603062.0,0.1,24220033.6,1.47,-22616971.6,1,振幅值达15%的证券
