date,time,open,high,low,close,volume,amount,settelementPrice,openInterest,preClose,suspendFlag,datetime
20210104,1609689600000,5.050000000000001,5.42,4.9,5.2700000000000005,523963,269535230.0,0.0,15,5.07,0,2021-01-03 16:00:00
20210105,1609776000000,5.260000000000001,5.800000000000001,5.11,5.800000000000001,833261,462681588.0,0.0,15,5.2700000000000005,0,2021-01-04 16:00:00
20210106,1609862400000,6.029999999999999,6.38,5.51,5.74,1237613,738270860.0000001,0.0,15,5.8,0,2021-01-05 16:00:00
20210107,1609948800000,5.45,5.59,5.2,5.32,753166,406988878.0,0.0,15,5.74,0,2021-01-06 16:00:00
20210108,1610035200000,5.2,5.32,5.04,5.09,390286,201110752.0,0.0,15,5.32,0,2021-01-07 16:00:00
20210111,1610294400000,5.02,5.28,4.96,5.11,369596,188684197.0,0.0,15,5.09,0,2021-01-10 16:00:00
20210112,1610380800000,5.25,5.44,5.0,5.05,403215,209273831.0,0.0,15,5.11,0,2021-01-11 16:00:00
20210113,1610467200000,4.95,5.0,4.55,4.6499999999999995,540769,256579188.00000003,0.0,15,5.05,0,2021-01-12 16:00:00
20210114,1610553600000,4.59,4.6,4.33,4.33,352313,156404676.0,0.0,15,4.65,0,2021-01-13 16:00:00
20210115,1610640000000,4.3,4.49,4.28,4.4,185237,81600427.00000001,0.0,15,4.33,0,2021-01-14 16:00:00
20210118,1610899200000,4.33,4.84,4.33,4.84,278568,129750277.99999999,0.0,15,4.4,0,2021-01-17 16:00:00
20210119,1610985600000,4.9799999999999995,5.08,4.8,4.88,417918,205303954.0,0.0,15,4.84,0,2021-01-18 16:00:00
20210120,1611072000000,4.91,4.93,4.68,4.8,222383,106184880.0,0.0,15,4.88,0,2021-01-19 16:00:00
20210121,1611158400000,4.8,5.05,4.75,4.96,339015,167368835.0,0.0,15,4.8,0,2021-01-20 16:00:00
20210122,1611244800000,4.88,4.8999999999999995,4.72,4.76,207590,99279887.0,0.0,15,4.96,0,2021-01-21 16:00:00
20210125,1611504000000,4.7,5.2,4.62,5.07,429236,214304351.99999997,0.0,15,4.76,0,2021-01-24 16:00:00
20210126,1611590400000,5.12,5.33,4.98,5.140000000000001,439427,227653399.00000003,0.0,15,5.07,0,2021-01-25 16:00:00
20210127,1611676800000,5.1000000000000005,5.3500000000000005,5.07,5.25,347295,181876609.0,0.0,15,5.140000000000001,0,2021-01-26 16:00:00
20210128,1611763200000,5.15,5.340000000000001,5.11,5.21,285991,149653409.0,0.0,15,5.25,0,2021-01-27 16:00:00
20210129,1611849600000,5.220000000000001,5.29,4.78,4.92,320241,159145403.99999997,0.0,15,5.21,0,2021-01-28 16:00:00
20210201,1612108800000,4.83,5.41,4.8100000000000005,5.250000000000001,479240,251425068.00000003,0.0,15,4.920000000000001,0,2021-01-31 16:00:00
20210202,1612195200000,5.180000000000001,5.23,4.99,5.11,330189,167604321.0,0.0,15,5.25,0,2021-02-01 16:00:00
20210203,1612281600000,5.0600000000000005,5.09,4.7,4.7700000000000005,303779,147459106.0,0.0,15,5.11,0,2021-02-02 16:00:00
