trade_date,exchange_id,rzye,rzmre,rzche,rqye,rqmcl,rzrqye,rqyl
20220314,SSE,854517735470.0,34156710585.0,32942112763.0,59635613557.0,342123126.0,914153349027.0,7020451524.0
20220314,SZSE,760252318608.0,29769520358.0,29629144380.0,31701426702.0,152564608.0,791953745310.0,2084688378.0
20220315,SSE,848623434249.0,39248985306.0,45129046908.0,57513628861.0,475542741.0,906137063110.0,7107629537.0
20220315,SZSE,753742176064.0,31789112743.0,38310968573.0,30622280106.0,215634051.0,784364456170.0,2109046369.0
20220316,SSE,846194275056.0,41493302322.0,43910444591.0,58683148896.0,467580646.0,904877423952.0,6993193567.0
20220316,SZSE,751833200488.0,38220957955.0,40117033525.0,31724756945.0,216722982.0,783557957433.0,2094486126.0
20220317,SSE,843697373088.0,42852969549.0,45347560229.0,59780632258.0,480466387.0,903478005346.0,7095088508.0
20220317,SZSE,750126526351.0,43186548618.0,44942616104.0,32630958169.0,189335573.0,782757484520.0,2109885840.0
20220318,SSE,837539032759.0,32741222765.0,38896357357.0,60233391954.0,429085693.0,897772424713.0,7129956740.0
20220318,SZSE,749200067685.0,32127918628.0,33048043788.0,32361006673.0,141686306.0,781561074358.0,2074045892.0
20220321,SSE,840383540777.0,35280451221.0,32420668687.0,61042001258.0,443213211.0,901425542035.0,7232160304.0
20220321,SZSE,751084574602.0,35288109264.0,33401138411.0,32573217081.0,183215895.0,783657791683.0,2099035425.0
20220322,SSE,840092127566.0,31948615138.0,32236432580.0,60932585977.0,383722812.0,901024713543.0,7274332627.0
20220322,SZSE,751608052314.0,30601083286.0,30265143009.0,32262449692.0,158919112.0,783870502006.0,2107392885.0
20220323,SSE,840333260621.0,33113235366.0,32872936379.0,61526204201.0,342394536.0,901859464822.0,7301365539.0
20220323,SZSE,751406921449.0,30651565561.0,30932965855.0,32217800967.0,137209830.0,783624722416.0,2083026024.0
20220324,SSE,839618088604.0,31089984629.0,31803047580.0,61105079215.0,330461726.0,900723167819.0,7286730681.0
20220324,SZSE,751659957993.0,30409470877.0,30152008805.0,32542088191.0,227181782.0,784202046184.0,2160407270.0
20220325,SSE,837409442628.0,31060061466.0,33264113839.0,60059605268.0,355363240.0,897469047896.0,7317497964.0
20220325,SZSE,749794716045.0,28930053421.0,30815054064.0,32012022572.0,157180434.0,781806738617.0,2175195489.0
