trade_date,exchange_id,rzye,rzmre,rzche,rqye,rqmcl,rzrqye,rqyl
20201117,SSE,738190820752.0,35020934966.0,34920894778.0,72072766835.0,243085720.0,810263587587.0,6406686878.0
20201117,SZSE,707706471023.0,40718218490.0,39259625816.0,45313692629.0,86531533.0,753020163652.0,2455282400.0
20201118,SSE,738724749306.0,35748609611.0,35203571325.0,72556533453.0,238117944.0,811281282759.0,6403230391.0
20201118,SZSE,708724734965.0,36204019644.0,35227526892.0,45218932634.0,91188864.0,753943667599.0,2446320542.0
20201119,SSE,737923991149.0,30378829634.0,31167745733.0,72313114235.0,160182965.0,810237105384.0,6356246119.0
20201119,SZSE,708457984264.0,33475424421.0,33725802872.0,45308225105.0,83103235.0,753766209369.0,2422522816.0
20201120,SSE,737865462670.0,31183957732.0,31220484364.0,72722586462.0,181484434.0,810588049132.0,6347463941.0
20201120,SZSE,707370962701.0,33250700995.0,34327119160.0,45460414935.0,74458079.0,752831377636.0,2428147134.0
20201123,SSE,742675022714.0,48655916053.0,43760190662.0,73972476201.0,258469533.0,816647498915.0,6407149099.0
20201123,SZSE,711507371763.0,45323863491.0,41213776992.0,45569410414.0,79201324.0,757076782177.0,2420348379.0
20201124,SSE,745084788566.0,38523407714.0,36102297057.0,73675678147.0,171889064.0,818760466713.0,6371381905.0
20201124,SZSE,713631712961.0,39317311447.0,37183771719.0,44698055705.0,54769703.0,758329768666.0,2382653295.0
20201125,SSE,746180978294.0,40713255244.0,39596357298.0,72425427362.0,177190530.0,818606405656.0,6391009272.0
20201125,SZSE,714307072921.0,38931430453.0,38249165703.0,43860356293.0,67355947.0,758167429214.0,2379958966.0
20201126,SSE,744973294987.0,31358289181.0,32542759729.0,72515479525.0,166886446.0,817488774512.0,6345627322.0
20201126,SZSE,712389046564.0,30730032648.0,32643993935.0,43819152857.0,65730786.0,756208199421.0,2368815872.0
20201127,SSE,743489604691.0,32734883184.0,34194463874.0,73557269829.0,189608178.0,817046874520.0,6365784101.0
20201127,SZSE,708965956697.0,29510371120.0,32985170449.0,44209661174.0,85146147.0,753175617871.0,2386386406.0
20201130,SSE,747061399190.0,48767051230.0,45183915505.0,73543488297.0,247004396.0,820604887487.0,6397974301.0
20201130,SZSE,710121138629.0,42724787340.0,41563819878.0,43950738848.0,88882575.0,754071877477.0,2374094345.0
