trade_date,exchange_id,rzye,rzmre,rzche,rqye,rqmcl,rzrqye,rqyl
20210714,SSE,872899264566.0,49127695555.0,50275865033.0,96898381507.0,188136996.0,969797646073.0,7602801357.0
20210714,SZSE,777611132540.0,57678550723.0,55739276517.0,59800826427.0,81838132.0,837411958967.0,3030773114.0
20210715,SSE,872344914304.0,49569635475.0,50100674136.0,97754617076.0,249340621.0,970099531380.0,7623805567.0
20210715,SZSE,777769239414.0,53736090375.0,53596763023.0,60331733038.0,86271116.0,838100972452.0,3032487326.0
20210716,SSE,871247201089.0,54210169393.0,55270036844.0,96779729001.0,205342646.0,968026930090.0,7637373133.0
20210716,SZSE,775716778071.0,54945423879.0,57008988675.0,60250088919.0,125449156.0,835966866990.0,3082273756.0
20210719,SSE,872204634809.0,47652085060.0,46662636501.0,95819794833.0,186814534.0,968024429642.0,7614943150.0
20210719,SZSE,776408434235.0,49571149694.0,48886394483.0,60180244901.0,93593408.0,836588679136.0,3105171692.0
20210720,SSE,872574217435.0,39771819830.0,39367910518.0,95771947704.0,154650329.0,968346165139.0,7578597733.0
20210720,SZSE,778126755443.0,40857871457.0,39140472896.0,60229373805.0,84231115.0,838356129248.0,3104019850.0
20210721,SSE,876263677708.0,56322486216.0,52376110774.0,96723158455.0,195989058.0,972986836163.0,7612193302.0
20210721,SZSE,782767734688.0,59158651929.0,54503307873.0,60962561335.0,78766466.0,843730296023.0,3103112904.0
20210722,SSE,881145142633.0,60847410671.0,55899890133.0,98110496208.0,213883534.0,979255638841.0,7667577789.0
20210722,SZSE,785232484281.0,59355072917.0,57068938315.0,61577726095.0,96337695.0,846810210376.0,3121850155.0
20210723,SSE,881396553942.0,64333614411.0,64031956881.0,97519995976.0,233540705.0,978916549918.0,7712000053.0
20210723,SZSE,783629926653.0,61585537125.0,63216834875.0,60944030766.0,122868075.0,844573957419.0,3145333588.0
20210726,SSE,884072314143.0,66240315749.0,63508999312.0,95893696994.0,196868693.0,979966011137.0,7681352956.0
20210726,SZSE,783864465243.0,59292521674.0,59057540619.0,59052399696.0,80840898.0,842916864939.0,3131203978.0
20210727,SSE,881974200598.0,71454914962.0,73505369423.0,94275342063.0,213227696.0,976249542661.0,7630322539.0
20210727,SZSE,778063914870.0,63256420043.0,69042892315.0,57082911866.0,114074193.0,835146826736.0,3142867938.0
