trade_date,exchange_id,rzye,rzmre,rzche,rqye,rqmcl,rzrqye,rqyl
20201229,SSE,766565014922.0,36771234951.0,39427492010.0,80638951944.0,256400655.0,847203966866.0,6977669280.0
20201229,SZSE,712962259437.0,36785119399.0,40397641836.0,48875680343.0,102452885.0,761837939780.0,2555567128.0
20201230,SSE,768713795726.0,38017076240.0,35844038729.0,83064123526.0,275215318.0,851777919252.0,7056124500.0
20201230,SZSE,714358964649.0,40124107884.0,38735429097.0,50302083299.0,107277719.0,764661047948.0,2592193010.0
20201231,SSE,768366961044.0,47044329212.0,47380522627.0,85655479796.0,404717525.0,854022440840.0,7242552164.0
20201231,SZSE,713657084317.0,44119019456.0,44871489729.0,51328597129.0,125358563.0,764985681446.0,2644489456.0
20210104,SSE,780490219310.0,59792059099.0,47648783230.0,85594916893.0,297843212.0,866085136203.0,7333166907.0
20210104,SZSE,725230617497.0,63579254665.0,51998898570.0,52330468127.0,114094703.0,777561085624.0,2663000725.0
20210105,SSE,786485232814.0,64068720689.0,58337177443.0,85919034933.0,274234682.0,872404267747.0,7400044350.0
20210105,SZSE,729080330000.0,65351004913.0,61494140254.0,54202483021.0,116463555.0,783282813021.0,2683076596.0
20210106,SSE,789702817707.0,55516064817.0,52283203058.0,87154562339.0,238041357.0,876857380046.0,7474335440.0
20210106,SZSE,731578013837.0,57109880945.0,54644017950.0,54658021133.0,87623052.0,786236034970.0,2693020994.0
20210107,SSE,792507228848.0,59965393124.0,57020050326.0,89277970861.0,262208935.0,881785199709.0,7551589895.0
20210107,SZSE,734999507403.0,61491357661.0,58113721909.0,56246692508.0,119285599.0,791246199911.0,2717365790.0
20210108,SSE,792770084113.0,52918009775.0,52627114908.0,89862795925.0,228993758.0,882632880038.0,7474415641.0
20210108,SZSE,733609485354.0,55905828991.0,57290296165.0,56357381325.0,94841557.0,789966866679.0,2700714150.0
20210111,SSE,793378564093.0,56336207102.0,55744837150.0,89464441339.0,255624629.0,882843005432.0,7520064144.0
20210111,SZSE,735477490340.0,61940601910.0,60063166760.0,55322447738.0,100590601.0,790799938078.0,2662426555.0
20210112,SSE,799390393893.0,57361406150.0,51344144046.0,91746211267.0,325524873.0,891136605160.0,7530545403.0
20210112,SZSE,737695483313.0,58648780801.0,56423679853.0,55651740615.0,108204142.0,793347223928.0,2607380448.0
