trade_date,exchange_id,rzye,rzmre,rzche,rqye,rqmcl,rzrqye,rqyl
20220124,SSE,879433636370.0,26403922588.0,28318764547.0,65372745895.0,205496472.0,944806382265.0,6967230248.0
20220124,SZSE,794566460854.0,28717195894.0,29264276362.0,37782718960.0,78988432.0,832349179814.0,2271223735.0
20220125,SSE,875761757447.0,30148004614.0,33803766596.0,62815257517.0,238690735.0,938577014964.0,6883328915.0
20220125,SZSE,789093034954.0,29548417751.0,35048405518.0,36677373905.0,108935956.0,825770408859.0,2247083697.0
20220126,SSE,872693075234.0,23898167033.0,26957728480.0,63184486286.0,320615634.0,935877561520.0,6885648236.0
20220126,SZSE,784865179078.0,22241431365.0,26485516847.0,36446325550.0,116206553.0,821311504628.0,2257189897.0
20220127,SSE,868250393955.0,24620243523.0,28998941916.0,60473114561.0,241068704.0,928723508516.0,6785459506.0
20220127,SZSE,780154059779.0,24680998834.0,29441171495.0,34794206744.0,103806051.0,814948266523.0,2227761196.0
20220128,SSE,854740314467.0,23132952667.0,36625953408.0,59174427770.0,233346885.0,913914742237.0,6688387295.0
20220128,SZSE,765544431852.0,20737371206.0,35457422556.0,33751026685.0,97015730.0,799295458537.0,2189118172.0
20220207,SSE,855901800819.0,27310266202.0,26116390723.0,60215503155.0,305413640.0,916117303974.0,6791621128.0
20220207,SZSE,767889837723.0,26068148465.0,23710188062.0,33966495725.0,93492188.0,801856333448.0,2198852281.0
20220208,SSE,854484927188.0,29090527058.0,30502101385.0,61059264042.0,351533250.0,915544191230.0,6839315202.0
20220208,SZSE,767991506876.0,27686236262.0,27578352822.0,34072387097.0,102931223.0,802063893973.0,2220727588.0
20220209,SSE,854850368933.0,30336916681.0,29963801497.0,62437858058.0,267397642.0,917288226991.0,6838008023.0
20220209,SZSE,770261585017.0,32181268475.0,29907196788.0,34937932288.0,119709869.0,805199517305.0,2246583872.0
20220210,SSE,853570690387.0,29621852856.0,30890877799.0,62421930804.0,284336216.0,915992621191.0,6798387705.0
20220210,SZSE,770587356687.0,30180319906.0,29915373765.0,34771623339.0,96155093.0,805358980026.0,2235264305.0
20220211,SSE,849788559074.0,30934333775.0,34709922987.0,61938605900.0,243821637.0,911727164974.0,6780239975.0
20220211,SZSE,768161542397.0,30709108841.0,33128747224.0,34164312819.0,98925826.0,802325855216.0,2204820098.0
