trade_date,exchange_id,rzye,rzmre,rzche,rqye,rqmcl,rzrqye,rqyl
20211112,SSE,896986190333.0,37409750345.0,40065019446.0,88357465487.0,183178633.0,985343655820.0,7958398713.0
20211112,SZSE,801035714826.0,45490144279.0,44023548521.0,52664904423.0,105757741.0,853700619249.0,2952904667.0
20211115,SSE,897001566079.0,38014892449.0,37991736733.0,86771474996.0,194971076.0,983773041075.0,7913583404.0
20211115,SZSE,803041991025.0,45682474840.0,43670271697.0,52022225115.0,92643874.0,855064216140.0,2927688759.0
20211116,SSE,895203793301.0,35725653903.0,37506992359.0,85833109101.0,231808384.0,981036902402.0,7946830244.0
20211116,SZSE,801450805365.0,41737330354.0,43348877782.0,51537592688.0,94087070.0,852988398053.0,2902314650.0
20211117,SSE,896710208816.0,33042433944.0,31526630414.0,85331457592.0,174135656.0,982041666408.0,7855128385.0
20211117,SZSE,803936951024.0,42051114882.0,39559523043.0,51589686288.0,83540363.0,855526637312.0,2880384027.0
20211118,SSE,897810789912.0,36889117611.0,35773659893.0,84617589176.0,234463923.0,982428379088.0,7839348849.0
20211118,SZSE,804188009179.0,44306586797.0,44072833870.0,50651289701.0,103658582.0,854839298880.0,2842521641.0
20211119,SSE,896957362621.0,37705003805.0,38546188591.0,85085143521.0,236196959.0,982042506142.0,7832746754.0
20211119,SZSE,803386032693.0,44311967227.0,45142114563.0,50663898948.0,111258812.0,854049931641.0,2794852985.0
20211122,SSE,902371955149.0,46186133754.0,40761591900.0,84978454593.0,245997975.0,987350409742.0,7772729201.0
20211122,SZSE,808802306359.0,53554381886.0,48194389569.0,51068305121.0,106952307.0,859870611480.0,2791498554.0
20211123,SSE,904116936824.0,45229945425.0,43551053309.0,84311209210.0,259601860.0,988428146034.0,7786592760.0
20211123,SZSE,810744067317.0,48241208667.0,46290561745.0,50552022405.0,86015700.0,861296089722.0,2745521122.0
20211124,SSE,904574071421.0,42353285513.0,41884422192.0,83526135212.0,252782557.0,988100206633.0,7787465420.0
20211124,SZSE,814105050029.0,50310498088.0,46990910010.0,49916408188.0,82171798.0,864021458217.0,2711454745.0
20211125,SSE,905679295346.0,39546784309.0,38430810057.0,83150510946.0,184601581.0,988829806292.0,7789060637.0
20211125,SZSE,815611344343.0,43940770889.0,42429125005.0,49312450209.0,70534469.0,864923794552.0,2688029488.0
