trade_date,exchange_id,rzye,rzmre,rzche,rqye,rqmcl,rzrqye,rqyl
20200207,SSE,561920858486.0,37686809856.0,37781145248.0,6781955757.0,12658396.0,568702814243.0,892168591.0
20200207,SZSE,465418494599.0,55389548205.0,51807348870.0,1735779545.0,5073370.0,467154274144.0,181202749.0
20200210,SSE,563895597858.0,36246045806.0,34266391629.0,7327030143.0,89381236.0,571222628001.0,948104632.0
20200210,SZSE,468627200989.0,52841300232.0,49623709442.0,1981932868.0,31118946.0,470609133857.0,197303542.0
20200211,SSE,562460299122.0,30460935925.0,31889005819.0,8019682181.0,123344161.0,570479981303.0,1030091238.0
20200211,SZSE,468163946953.0,44947292289.0,45391117251.0,2184112566.0,39684105.0,470348059519.0,211668555.0
20200212,SSE,564705327037.0,33501425705.0,31243266605.0,8901457391.0,147358558.0,573606784428.0,1121672459.0
20200212,SZSE,472552264437.0,51310576593.0,46913240508.0,2470323620.0,38377519.0,475022588057.0,223827369.0
20200213,SSE,565269286069.0,36519148029.0,35935301325.0,9092676707.0,106038388.0,574361962776.0,1133619420.0
20200213,SZSE,474496041178.0,55420463073.0,53471245338.0,2626983939.0,39016028.0,477123025117.0,234558633.0
20200214,SSE,564842574521.0,35262531666.0,35685599281.0,9399512538.0,106083603.0,574242087059.0,1153986079.0
20200214,SZSE,474107708344.0,52011851112.0,52390894338.0,2691335840.0,36541607.0,476799044184.0,239918696.0
20200217,SSE,568927550285.0,43034434520.0,38936819219.0,9982728806.0,133901551.0,578910279091.0,1185340151.0
20200217,SZSE,481892175459.0,62451865566.0,54658126064.0,2870796068.0,36323371.0,484762971527.0,245984547.0
20200218,SSE,573602028083.0,44582485006.0,39889343069.0,10232506176.0,132178888.0,583834534259.0,1219049007.0
20200218,SZSE,488463233092.0,65796723046.0,59220921921.0,2841162828.0,39210721.0,491304395920.0,244023729.0
20200219,SSE,574072376028.0,44611198356.0,44133836377.0,10416491507.0,132541902.0,584488867535.0,1273518468.0
20200219,SZSE,490531410786.0,68428244338.0,66348312840.0,3095963360.0,48516880.0,493627374146.0,263207812.0
20200220,SSE,577770431812.0,50651791080.0,46945046755.0,10754071099.0,155046392.0,588524502911.0,1301360101.0
20200220,SZSE,497827789601.0,71124081614.0,63819509260.0,3448871928.0,60434118.0,501276661529.0,286563860.0
