trade_date,exchange_id,rzye,rzmre,rzche,rqye,rqmcl,rzrqye,rqyl
20210728,SSE,875017626385.0,48356000041.0,55278503839.0,93589940718.0,233371172.0,968607567103.0,7631125526.0
20210728,SZSE,769380128422.0,45664840145.0,54403033883.0,57323149244.0,128334532.0,826703277666.0,3150136802.0
20210729,SSE,877935876728.0,54235311628.0,51245394426.0,96359375974.0,293419711.0,974295252702.0,7698184456.0
20210729,SZSE,770407460200.0,53183307552.0,52189165994.0,59230969220.0,127251141.0,829638429420.0,3183908461.0
20210730,SSE,875692505732.0,54021721651.0,56222397456.0,96449617205.0,244606875.0,972142122937.0,7702378905.0
20210730,SZSE,771845872269.0,60060221216.0,58663328272.0,59172463553.0,129215512.0,831018335822.0,3211948560.0
20210802,SSE,880443503451.0,68516927730.0,63617463518.0,98413628446.0,397380210.0,978857131897.0,7859272769.0
20210802,SZSE,778449714474.0,71242022078.0,64625832412.0,60033254409.0,119356463.0,838482968883.0,3225714477.0
20210803,SSE,879217994964.0,57995438660.0,59207425226.0,97463262183.0,339154043.0,976681257147.0,7813160708.0
20210803,SZSE,778431951507.0,61997666868.0,62077007604.0,60300885861.0,115426350.0,838732837368.0,3241813133.0
20210804,SSE,881972881172.0,56117682644.0,53338884279.0,99568232422.0,294717070.0,981541113594.0,7907422697.0
20210804,SZSE,783893033271.0,60429763880.0,55752863472.0,61425345660.0,101989460.0,845318378931.0,3250858449.0
20210805,SSE,882804292001.0,54638374264.0,53788046940.0,100122802739.0,319642645.0,982927094740.0,8006536154.0
20210805,SZSE,787353559180.0,60250915400.0,56860589911.0,61543337213.0,117428412.0,848896896393.0,3268076230.0
20210806,SSE,884172429529.0,53337436391.0,51930492927.0,100149418320.0,225081253.0,984321847849.0,8003081634.0
20210806,SZSE,786514670610.0,56710770921.0,57539413174.0,61830124847.0,101259399.0,848344795457.0,3267268125.0
20210809,SSE,887076996399.0,54715347711.0,51794112459.0,100382674700.0,290011638.0,987459671099.0,8010161696.0
20210809,SZSE,789905581275.0,57321083041.0,53916646964.0,62485491794.0,98121881.0,852391073069.0,3272876837.0
20210810,SSE,887179157175.0,52545175434.0,52444478062.0,101170598664.0,255515009.0,988349755839.0,8026491785.0
20210810,SZSE,791366684984.0,60875541068.0,59342655497.0,63081521638.0,104102557.0,854448206622.0,3281832667.0
