date,time,open,high,low,close,volume,amount,settelementPrice,openInterest,preClose,suspendFlag,datetime
20240102,1704124800000,9.25,9.44,9.09,9.4,82206,76821323.0,0.0,15,9.2,0,2024-01-01 16:00:00
20240103,1704211200000,9.43,9.43,9.09,9.209999999999999,54640,50265029.99999999,0.0,15,9.4,0,2024-01-02 16:00:00
20240104,1704297600000,9.209999999999999,9.41,9.17,9.27,48533,45070371.99999999,0.0,15,9.209999999999999,0,2024-01-03 16:00:00
20240105,1704384000000,9.33,9.39,9.01,9.07,54867,50375364.99999999,0.0,15,9.27,0,2024-01-04 16:00:00
20240108,1704643200000,9.09,9.12,8.78,8.799999999999999,40226,35841427.0,0.0,15,9.069999999999999,0,2024-01-07 16:00:00
20240109,1704729600000,8.81,9.05,8.81,8.96,54360,48662498.0,0.0,15,8.8,0,2024-01-08 16:00:00
20240110,1704816000000,9.01,9.040000000000001,8.74,8.81,51503,45671602.99999999,0.0,15,8.96,0,2024-01-09 16:00:00
20240111,1704902400000,8.81,8.98,8.75,8.97,34884,30907790.000000004,0.0,15,8.81,0,2024-01-10 16:00:00
20240112,1704988800000,8.97,9.09,8.92,8.97,36820,33111186.0,0.0,15,8.97,0,2024-01-11 16:00:00
20240115,1705248000000,8.97,8.98,8.82,8.85,36654,32595326.000000004,0.0,15,8.97,0,2024-01-14 16:00:00
20240116,1705334400000,8.9,8.95,8.6,8.84,50996,44733956.00000001,0.0,15,8.85,0,2024-01-15 16:00:00
20240117,1705420800000,8.77,8.84,8.42,8.459999999999999,49054,42166102.0,0.0,15,8.84,0,2024-01-16 16:00:00
20240118,1705507200000,8.49,8.5,7.97,8.25,86105,70444930.0,0.0,15,8.459999999999999,0,2024-01-17 16:00:00
20240119,1705593600000,8.27,8.32,8.09,8.1,50556,41380672.0,0.0,15,8.25,0,2024-01-18 16:00:00
20240122,1705852800000,8.09,8.19,7.49,7.55,63944,49964629.00000001,0.0,15,8.1,0,2024-01-21 16:00:00
20240123,1705939200000,7.48,7.54,7.11,7.430000000000001,84994,62238527.0,0.0,15,7.550000000000001,0,2024-01-22 16:00:00
20240124,1706025600000,7.44,7.62,7.16,7.51,61080,45294885.0,0.0,15,7.43,0,2024-01-23 16:00:00
20240125,1706112000000,7.550000000000001,7.86,7.3500000000000005,7.83,51785,39795359.0,0.0,15,7.510000000000001,0,2024-01-24 16:00:00
20240126,1706198400000,7.87,7.99,7.7,7.82,40343,31782516.000000004,0.0,15,7.83,0,2024-01-25 16:00:00
20240129,1706457600000,7.880000000000001,7.880000000000001,7.48,7.53,53463,40640245.0,0.0,15,7.82,0,2024-01-28 16:00:00
20240130,1706544000000,7.6000000000000005,7.6000000000000005,7.15,7.21,37789,27835780.0,0.0,15,7.53,0,2024-01-29 16:00:00
20240131,1706630400000,7.21,7.35,6.68,6.75,79880,55202125.00000001,0.0,15,7.21,0,2024-01-30 16:00:00
20240201,1706716800000,6.739999999999999,6.84,6.43,6.58,102390,67783678.99999999,0.0,15,6.75,0,2024-01-31 16:00:00
20240202,1706803200000,6.65,6.71,5.92,6.21,95538,60017951.0,0.0,15,6.58,0,2024-02-01 16:00:00
20240205,1707062400000,6.1899999999999995,6.21,5.59,5.59,81128,45756841.0,0.0,15,6.21,0,2024-02-04 16:00:00
20240206,1707148800000,5.550000000000001,5.550000000000001,5.03,5.03,128826,65817888.0,0.0,15,5.59,0,2024-02-05 16:00:00
20240207,1707235200000,5.109999999999999,5.14,4.55,4.81,165302,79382582.0,0.0,15,5.029999999999999,0,2024-02-06 16:00:00
