date,半导体,存储,AI,软件,云计算,苹果产业链,消费电子,电商,新能源车,光伏,锂电池,医药,生物科技,银行,航空航天,机器人
2025-01-02,,,,,,,,,,,,,,,,
2025-01-03,3.068041876941563,3.2197277395741146,2.352810720394337,0.7432901245845226,1.824886618182333,-0.20094283726911355,1.587676862437463,1.453470806909214,7.905318964252591,2.3065020093078594,2.403349265129884,0.3698777698514677,0.49132183833770826,1.3098897063111936,-0.09849913516045694,1.412575931144211
2025-01-06,3.0752935758148796,4.28986968652881,1.0311687082368006,0.15825286520036452,1.0244618482184964,0.6738916097301262,2.2793267975277365,1.5551863481822004,-0.7833827965553541,2.6416308483861783,3.8873313187853697,-0.20608480084780742,-0.38106488866688437,0.9702843597052002,-1.8092390640607434,0.42616728959070094
2025-01-07,-1.0302907655489526,0.6771691412895464,-3.153373345209094,-1.9821798342604575,-1.455778120711044,-1.138768025181136,-1.4828869192382246,-1.800417085826296,-1.3790196817589877,4.497027899228817,0.8174354011922347,0.9251039405662298,0.8029146051395418,0.5163883830548821,0.24559160360151377,-0.9937024274772999
2025-01-08,-0.7854854366168507,-1.572469523532068,-0.47863037848705015,0.33099495788567374,0.5808744314244407,0.20229708795851398,-0.6891095337111963,-0.23243466164225346,-3.9722941871549824,-7.202333489034251,-1.7376149248158057,-0.701882492166193,-0.2024009863070142,-0.06990097245425542,0.8932903882769349,0.8301973016786313
2025-01-10,-2.483601093922999,-0.6010529225996356,-1.4411947909718275,-2.3095032131113022,-1.1032554587431864,-2.4103740476016933,-2.320993036933535,-3.83018199806632,-1.358604051976207,-3.413303476356877,-1.3444806458779601,-0.5415994995059995,-1.3644886280567168,-2.3922718415743582,-0.4581080919448066,-0.7846537319893931
2025-01-13,-0.3224879441643913,-1.8381333572740595,-1.0537488327011861,-0.10939625809856339,-0.5780238792934367,-1.034414517538984,-2.2631391937349568,0.032425496316619284,-1.5150894616879222,-1.8918613213548292,3.5682634552489323,0.5818055350933012,1.563838620970368,0.9917579422181101,1.8640399752831915,-0.3155180370970623
2025-01-14,0.5515193282212116,2.055584230201083,-0.2824693548389086,0.9590352250624176,0.07540341480950064,-0.47782324313101476,-0.4440286938713271,1.4461566429521189,0.9297822841295509,-1.0681369350053287,2.1029552960872167,-1.5262340748684007,-1.7501308139902183,1.2791669412815931,0.1735117800132424,0.18253846334412294
2025-01-15,2.696586855578522,4.136493785824524,2.5898274812610995,1.305520828860059,2.37082418710854,1.9675869041915206,0.8302651214083578,2.103655875920598,2.8671438163789915,0.9387619395267166,1.6223643713117797,-0.1745419977383126,1.1288322027179443,4.809723567985071,-0.24346027378218338,3.6684619520017057
2025-01-16,0.9017673657042448,-0.12864079039284584,-0.6585708265184309,0.6291114725878252,-0.29971459258619104,-4.040013508725093,-1.525417484577433,-0.44439790224067854,1.70014149031229,-1.0592913535309278,-0.7217322573253027,1.2061716336654131,-0.7231108871025937,0.2515321523203551,1.2604263044991404,1.2204653870747317
2025-01-17,3.523435240814931,2.344857081691365,1.9230947097009472,1.2262312032658669,1.79194246012893,0.7535239806619742,0.2737527325246976,4.1829578425367355,1.6897835615671408,-0.4684812574672792,1.8302984979967962,-1.5963934790893866,0.04974493591520579,1.4345653578376738,0.4999009336843274,1.7364707603467866
2025-01-21,1.2957497309785282,3.5908937642114522,1.20217030987495,2.1998002782829666,1.3867747267103736,-3.1915857182855722,-0.03202580369121577,0.5249028969924319,-1.0906176110464942,-2.5081854781354496,-2.150237386570797,0.7624630599554464,0.965205138482732,1.2555573427002154,3.2272345901442194,1.696042216050253
2025-01-22,1.3214587525512702,2.8289782927516085,2.671130552867321,2.9556655423889597,2.2282952673861223,0.5345040770410758,1.5648306299657595,0.7452366950708633,-3.154984828572131,-5.564522173072728,-3.739147755393496,-0.8686631107835684,-0.052190637258626715,-0.5254343542266637,-0.8653291467668822,0.21094684323488821
2025-01-23,-0.9286456078467754,-1.2414483033678758,0.8041882646467704,0.2176105737684416,-0.13242391961867384,-0.07594393379167785,-0.03438272495562463,-0.11959932587868094,-0.8516722680170027,5.289887484247874,0.5043349123182495,1.6204298855336214,1.4056712150959405,0.7553333442457721,0.5220330702505915,0.15620385628066225
2025-01-24,-1.480299469543248,-1.2117048337557519,-0.1902875838941934,-0.6802578885075535,0.156502340453466,-0.3934678875542885,-0.9232462565216778,3.408971350929,2.0359558365726618,3.2041979957410147,-0.3870557766225746,0.40762564283555736,-0.3403000249221333,-0.2591311198469781,-0.7101371823667302,-2.412092670447441
2025-01-27,-9.256793436925197,-6.841736676416694,-3.0956393309014465,-1.506135704185402,-0.8418426270896996,3.1780316097549166,-1.2282723621839873,-0.10538711968048009,0.15392472899566356,-1.3870423519561386,-0.7028391634689324,2.9864759141075887,1.8447446787646804,0.26738131589612024,0.632982522230261,-1.6347001176775289
2025-01-28,0.6547076445574763,-2.8722992734066346,3.8650001612718508,3.4871727318482315,4.738378484765224,3.6543927124331743,-0.1904939102754022,4.0665011853191135,-0.04368386547518218,-4.87866354556053,-1.2338862537485618,-1.1937918727856858,-1.0384402430409032,-0.1605499158921453,-2.2072798537401073,-0.2907778579033682
2025-01-29,0.5394901369039984,-0.045920767698985156,-1.0722532521750292,-1.538573982880653,-1.3497704637312413,0.4616803685774551,0.6171843173797745,-0.5128458189338669,-2.1753256609777227,-0.1019461200636923,1.9541770132969538,0.25260912875304337,0.3863249443574479,0.20493733324024266,-2.15696289378353,-0.7162255241959015
