ts_code,name,count,exchange,list_date,type
885764.TI,自由贸易港,45.0,A,20171114,N
885765.TI,互联网医疗,144.0,A,20171117,N
885766.TI,智能交通,215.0,A,20171117,N
885767.TI,互联网保险,20.0,A,20171117,N
885768.TI,无人零售,25.0,A,20171117,N
885769.TI,细胞免疫治疗,61.0,A,20171117,N
885770.TI,智能物流,234.0,A,20171117,N
885771.TI,智能音箱,58.0,A,20171117,N
885772.TI,语音技术,64.0,A,20171120,N
885774.TI,无线充电,57.0,A,20171127,N
885775.TI,燃料电池,209.0,A,20171128,N
885779.TI,腾讯概念,287.0,A,20171218,N
885780.TI,啤酒概念,30.0,A,20180108,N
885781.TI,石墨电极,24.0,A,20180108,N
885782.TI,水泥概念,44.0,A,20180109,N
885783.TI,工业互联网,415.0,A,20180226,N
885785.TI,小米概念,367.0,A,20180306,N
885786.TI,富士康概念,104.0,A,20180306,N
885787.TI,独角兽概念,111.0,A,20180306,N
885788.TI,网络直播,284.0,A,20180312,N
885789.TI,宁德时代概念,279.0,A,20180314,N
885791.TI,知识产权保护,51.0,A,20180411,N
885792.TI,赛马概念,6.0,A,20180416,N
885795.TI,国产航母,36.0,A,20180514,N
885797.TI,百度概念,229.0,A,20180612,N
885800.TI,消费电子概念,467.0,A,20180830,N
885805.TI,芬太尼,8.0,A,20181204,N
885806.TI,华为概念,995.0,A,20181207,N
885808.TI,养鸡,22.0,A,20190212,N
885809.TI,柔性屏(折叠屏),106.0,A,20190219,N
885810.TI,大豆,14.0,A,20190220,N
885811.TI,玉米,33.0,A,20190220,N
885812.TI,农业种植,90.0,A,20190221,N
885814.TI,信托概念,23.0,A,20190228,N
885818.TI,工业大麻,31.0,A,20190307,N
885819.TI,电力物联网,82.0,A,20190313,N
885820.TI,数字孪生,190.0,A,20190313,N
885823.TI,氢能源,367.0,A,20190319,N
885825.TI,冰雪产业,57.0,A,20190401,N
885827.TI,横琴新区,43.0,A,20190402,N
885829.TI,丙烯酸,18.0,A,20190409,N
885832.TI,长三角一体化,130.0,A,20190411,N
885834.TI,华为汽车,171.0,A,20210419,N
885835.TI,参股银行,186.0,A,20190416,N
885838.TI,眼科医疗,54.0,A,20190426,N
885839.TI,人造肉,20.0,A,20190508,N
885840.TI,人民币贬值受益,596.0,A,20190513,N
885842.TI,数字乡村,96.0,A,20190517,N
885843.TI,华为海思概念股,49.0,A,20190521,N
885844.TI,国产操作系统,66.0,A,20190522,N
885845.TI,生物疫苗,60.0,A,20190527,N
885846.TI,动物疫苗,20.0,A,20190527,N
885849.TI,黑龙江自贸区,37.0,A,20190605,N
885851.TI,烟草,40.0,A,20190617,N
885852.TI,青蒿素,10.0,A,20190618,N
885854.TI,垃圾分类,97.0,A,20190621,N
885856.TI,仿制药一致性评价,141.0,A,20190625,N
885860.TI,中船系,10.0,A,20190703,N
885861.TI,ETC,42.0,A,20190708,N
885863.TI,磷化工,57.0,A,20190715,N
885864.TI,光刻胶,74.0,A,20190718,N
885865.TI,金属钴,33.0,A,20190808,N
885866.TI,数字货币,92.0,A,20190918,N
885868.TI,无线耳机,97.0,A,20191105,N
885873.TI,分拆上市意愿,62.0,A,20191216,N
885874.TI,云游戏,27.0,A,20191216,N
885875.TI,MiniLED,94.0,A,20191217,N
885876.TI,网红经济,117.0,A,20191227,N
885877.TI,转基因,19.0,A,20200106,N
885878.TI,HJT电池,64.0,A,20200120,N
885879.TI,流感,182.0,A,20200121,N
885881.TI,云办公,49.0,A,20200203,N
885882.TI,消毒剂,59.0,A,20200206,N
885883.TI,医疗废物处理,41.0,A,20200207,N
885884.TI,航空发动机,95.0,A,20200219,N
885886.TI,超级电容,36.0,A,20200224,N
885887.TI,数据中心,568.0,A,20200306,N
