date,sentiment,机器人_热度,AI/DeepSeek_热度,半导体_热度,创新药_热度,军工_热度,商业航天_热度,新能源_热度,福建/台湾_热度,机器人_热度_pct,AI/DeepSeek_热度_pct,半导体_热度_pct,创新药_热度_pct,军工_热度_pct,商业航天_热度_pct,新能源_热度_pct,福建/台湾_热度_pct
2021-09-29,-2,0,0,0,0,0,0,0,0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021-09-30,36,2,6,58,12,38,18,108,24,inf,inf,inf,inf,inf,inf,inf,inf
2021-10-29,-94,0,4,16,4,6,4,18,4,-100.0,-33.333333333333336,-72.41379310344827,-66.66666666666667,-84.21052631578947,-77.77777777777779,-83.33333333333334,-83.33333333333334
2021-10-30,2,0,12,26,20,20,28,60,16,,200.0,62.5,400.0,233.33333333333334,600.0,233.33333333333334,300.0
2021-10-31,-14,0,6,22,6,28,16,30,8,,-50.0,-15.384615384615385,-70.0,39.99999999999999,-42.85714285714286,-50.0,-50.0
2021-11-30,48,4,30,38,48,50,14,116,12,inf,400.0,72.72727272727273,700.0,78.57142857142858,-12.5,286.6666666666667,50.0
2021-12-30,34,2,4,20,16,28,22,58,4,-50.0,-86.66666666666667,-47.36842105263158,-66.66666666666667,-43.99999999999999,57.14285714285714,-50.0,-66.66666666666667
2021-12-31,112,6,24,38,44,38,20,128,10,200.0,500.0,89.99999999999999,175.0,35.71428571428572,-9.090909090909093,120.6896551724138,150.0
2022-01-28,-22,0,0,4,2,12,0,10,0,-100.0,-100.0,-89.47368421052632,-95.45454545454545,-68.42105263157895,-100.0,-92.1875,-100.0
2022-01-29,-2,0,0,36,2,56,24,30,14,,,800.0,0.0,366.6666666666667,inf,200.0,inf
2022-01-30,4,0,2,4,8,20,16,38,16,,inf,-88.88888888888889,300.0,-64.28571428571428,-33.333333333333336,26.66666666666666,14.28571428571428
2022-01-31,26,0,0,12,8,42,20,6,8,,-100.0,200.0,0.0,110.00000000000001,25.0,-84.21052631578947,-50.0
2022-02-28,70,4,6,18,28,216,48,116,20,inf,inf,50.0,250.0,414.28571428571433,140.0,1833.3333333333333,150.0
2022-03-30,-4,0,0,0,2,22,0,0,2,-100.0,-100.0,-100.0,-92.85714285714286,-89.81481481481481,-100.0,-100.0,-90.0
2022-03-31,102,4,0,82,24,146,26,76,34,inf,,inf,1100.0,563.6363636363636,inf,inf,1600.0
