近期天数,最大涨幅,最小高开,企业类型,交易次数,胜率,平均收益,总收益,最大回撤
30,25,2.0,地方国有企业+中央国有企业,283,78.09187279151944,4.291619264624892,1214.5282518888444,-15.704904292750829
40,20,2.0,地方国有企业,218,79.81651376146789,4.239016947070439,924.1056944613557,-8.782972520288906
40,20,2.0,地方国有企业+中央国有企业,218,79.81651376146789,4.239016947070439,924.1056944613557,-8.782972520288906
30,15,2.0,不限,998,76.25250501002004,4.214924105051974,4206.49425684187,-16.308070039042324
20,15,2.0,不限,1169,76.13344739093242,4.190117443972745,4898.247292004138,-14.729113103096822
20,25,2.0,地方国有企业,373,77.4798927613941,4.176753416216161,1557.9290242486281,-15.704904292750827
20,25,2.0,地方国有企业+中央国有企业,373,77.4798927613941,4.176753416216161,1557.9290242486281,-15.704904292750827
30,20,2.0,不限,1197,74.85380116959064,4.134747587006165,4949.2928616463805,-17.558777159458693
30,25,2.0,不限,1367,74.10387710314558,4.110787590623475,5619.446636382289,-19.77925708696898
20,20,2.0,不限,1449,74.46514837819186,4.0832757521503655,5916.66656486588,-23.450915791348272
20,25,2.0,不限,1723,73.65060940220546,4.070986590810014,7014.3098959656545,-30.33087057510117
40,20,2.0,不限,1049,75.11916110581505,4.068722859783051,4268.090279912421,-17.326054868351715
40,10,2.0,不限,715,77.4825174825175,4.065668525681466,2906.952995862248,-12.687420238108466
40,15,2.0,不限,892,76.23318385650224,4.0578084389979585,3619.5651275861787,-17.32605486835174
40,25,2.0,不限,1192,74.49664429530202,4.0491686218382235,4826.608997231162,-16.990716454704184
