date,sector,high_code,high_5d,high_pct,high_next,low_code,low_5d,low_pct,low_next,switch_return,switch_5d
2026-01-26,A股上证,600391.SH,36.88341023886192,-5.253688377114073,-8.849221420432961,600183.SH,5.0402770259119025,-5.6089743589743435,-0.6083757781550746,8.240845642277886,-2.056620607667562
2026-01-26,A股创业板,300344.SZ,53.073569672155685,-19.23076923076923,11.428571428571416,300502.SZ,-2.935715363575816,-6.504265496326248,2.1123417721518964,-9.31622965641952,-63.23462929475585
2026-01-23,A股上证,601616.SH,31.833932525125384,-14.114114114114122,-0.3496503496503422,600676.SH,2.7525351495438146,-6.468172484599598,-4.390779363336977,-4.041129013686635,-2.886054669808779
2026-01-23,A股科技,688047.SH,26.401464657653825,-6.6452358229946205,1.1514042827934932,688200.SH,7.374950637078602,-5.509578544061301,1.7760116778850032,0.6246073950915101,17.08225827630541
2026-01-23,A股创业板,300606.SZ,31.6539585443404,-11.867007672634273,-0.7544979686593093,300573.SZ,-0.2972659703521465,-7.228915662650602,-3.5064935064935105,-2.751995537834201,1.9951308123101477
2026-01-22,A股创业板,300215.SZ,30.43860594028812,-5.729166666666656,-2.430939226519344,300136.SZ,-2.336814161263746,-9.654320987654312,12.32577206887127,14.756711295390614,18.505131523119417
2026-01-20,A股深证,002796.SZ,25.360946544845966,-6.199575371549897,-1.2675418741512048,000593.SZ,-1.686423933093062,-5.413814561294343,-0.9868421052631486,0.28069976888805614,14.752120511781966
2026-01-20,A股科技,688376.SH,27.17851202197535,-5.658041351987116,3.2808398950131235,688195.SH,3.9178130935366253,-7.792409788469515,-3.8571830193983616,-7.138022914411485,19.372358817812948
2026-01-19,A股创业板,300617.SZ,26.135628833419894,-14.473144731447318,3.211888782358589,300010.SZ,1.2313131887087856,-5.176470588235288,-2.6054590570719705,-5.8173478394305596,-6.549096065225104
2026-01-19,A股北交所,920021.BJ,33.784144069301014,-15.789473684210531,8.125000000000012,920018.BJ,6.3451895491436865,-6.220693966864641,4.233333333333332,-3.891666666666681,-26.56250000000001
2026-01-16,A股上证,601116.SH,29.772115643891027,-14.84545058772312,-10.020449897750499,600118.SH,0.6556328823833848,-9.429824561403509,-1.2106537530266344,8.809796144723865,9.501700857113129
2026-01-16,A股科技,688258.SH,39.83808979004756,-9.216204928302945,-6.463732556356382,688066.SH,0.8063046048436151,-6.023529411764711,2.653980971457192,9.117713527813574,-10.699948097272422
2026-01-16,A股深证,002044.SZ,33.958634904548866,-7.514450867052027,-6.999999999999995,000981.SZ,6.263599599713986,-11.573236889692595,2.65848670756646,9.658486707566455,6.374488752556244
2026-01-16,A股北交所,920021.BJ,64.06637137669996,-5.079100749375516,-15.789473684210531,920092.BJ,2.091448780971474,-11.520833333333336,-2.7313397692488737,13.058133914961658,-4.907179061380787
2026-01-16,A股创业板,300063.SZ,50.478693838955905,-12.756410256410259,-5.143277002204257,300045.SZ,7.277464369316775,-5.661538461538461,-2.1526418786692765,2.99063512353498,-8.966848845362843
2026-01-15,A股创业板,300065.SZ,26.666202882888243,-5.466237942122184,-0.5102040816326573,300101.SZ,4.320209222136106,-5.897435897435897,-1.3964577656675754,-0.8862536840349181,-1.4393223229346264
2026-01-15,A股科技,688270.SH,34.17627636638402,-6.842105263157896,4.559322033898301,688002.SH,4.21953002527947,-5.8197172755645346,2.5438596491228065,-2.0154623847754944,3.172266825255222
2026-01-15,A股上证,600776.SH,28.769974685803152,-6.785714285714289,-10.004257130693905,600501.SH,-0.44360296007868616,-5.938461538461538,-0.1635590448151806,9.840698085878724,10.683434497631424
2026-01-14,A股上证,600477.SH,37.676144552133174,-5.275229357798175,-1.6949152542372952,600053.SH,7.650729200522319,-5.0382366171839905,-2.1316911416390303,-0.4367758874017351,32.03432269342072
2026-01-14,A股北交所,920021.BJ,61.29353381477589,-11.084142394822,9.281164695177429,920006.BJ,5.937142860572564,-10.18808777429467,3.45549738219896,-5.825667312978469,-3.0005383285137732
2026-01-14,A股创业板,300058.SZ,45.22884835071355,-8.645276292335122,0.2439024390243937,300004.SZ,6.296660305026531,-7.670454545454546,3.0769230769230793,2.8330206378986857,23.238273921200754
2026-01-14,A股深证,002639.SZ,32.49675220718797,-5.082319255547608,-4.788838612368022,000070.SZ,1.9457122607173982,-9.42684766214178,2.248126561198997,7.036965173567019,14.451946153469393
2026-01-14,A股科技,688053.SH,32.111921114549276,-5.555555555555555,-7.25490196078432,688010.SH,2.026918943421707,-8.093278463648842,0.0,7.25490196078432,4.62189054726369
2026-01-13,A股上证,603057.SH,28.81831378496918,-7.459535538353275,4.144486692015208,603110.SH,3.8326465357807784,-5.180180180180189,-0.35629453681709455,-4.500781228832303,-9.432999467138712
2026-01-13,A股深证,002774.SZ,26.564873496837805,-20.364741641337385,-12.290076335877858,000609.SZ,4.81969337232472,-5.6989247311828075,-3.3067274800456006,8.983348855832258,7.0139354322073055
2026-01-13,A股创业板,300051.SZ,29.007208732830385,-6.971677559912861,-7.8454332552693105,300518.SZ,-0.6094006567409274,-5.678537054860441,-1.4285714285714342,6.416861826697876,5.854800936768128
2026-01-12,A股上证,600869.SH,31.140017017929488,-9.825145711906742,-1.1080332409972227,600028.SH,-1.1315635774188433,-8.682634730538924,-2.459016393442614,-1.3509831524453915,2.7967243388886542
2026-01-12,A股科技,688037.SH,28.866864674634577,-5.34146341463414,-0.5874774542643725,688033.SH,2.390785360157457,-6.868451688009311,12.5,13.087477454264372,-11.497842051017766
