date,sector,high_code,high_5d_return,high_next_return,low_code,low_5d_return,low_next_return,switch_return,switch_5d_return
2026-01-26,A股创业板,300051.SZ,34.03797750718394,-2.5157232704402617,300002.SZ,0.4755180839144515,-1.5822784810126667,0.933444789427595,7.322125172017695
2026-01-26,A股深证,000048.SZ,30.222321474940397,-2.091836734693878,000001.SZ,-1.6191356857251964,-0.09107468123861373,2.000762053455264,4.829281439351698
2026-01-26,A股北交所,920021.BJ,26.254933731918385,-0.487408610885463,920008.BJ,-0.624474480237837,-3.325198291641244,-2.837789680755781,-17.770316250571838
2026-01-26,A股科技,688047.SH,29.667590918692035,-6.26595744680851,688010.SH,-2.198193751119933,1.7533066748692718,8.019264121677782,8.103235011158603
2026-01-26,A股上证,600340.SH,27.758084720980083,-3.243243243243246,600006.SH,-1.6362161804256408,-1.7980636237897756,1.4451796194534705,10.0302792418975
2026-01-23,A股上证,600391.SH,37.43537970798812,-5.253688377114073,600006.SH,-2.9726254645635177,-0.138121546961323,5.1155668301527495,-0.8865325775995676
2026-01-23,A股科技,688047.SH,26.401464657653833,1.1514042827934932,688016.SH,-2.723401990786355,1.6856256463288473,0.5342213635353541,7.6779588911203085
2026-01-23,A股北交所,920368.BJ,25.854430836452444,33.33333333333333,920000.BJ,-2.454009780685647,-0.6410256410256536,-33.974358974358985,-56.60749506903353
2026-01-23,A股创业板,300344.SZ,56.05433890292491,-19.23076923076923,300001.SZ,-2.361089494704628,1.3221990257480953,20.552968256517325,-53.193619185268446
2026-01-23,A股深证,000506.SZ,34.42498060803119,0.14858841010399992,000001.SZ,-2.3934291429454815,-0.8130081300812995,-0.9615965401852994,-28.40682889245931
2026-01-22,A股其他,605287.SH,25.608118053159394,2.2850924918389492,003001.SZ,-0.5075506443316242,1.3263855992420708,-0.9587068925968785,-5.536098028411202
2026-01-22,A股创业板,300215.SZ,30.438605940288117,-2.430939226519344,300025.SZ,-2.8015796161683726,0.8264462809917326,3.257385507511077,7.625222592575695
2026-01-22,A股上证,600584.SH,27.982726764788566,-9.507235757464745,600006.SH,-0.9295407635356632,-0.8219178082191728,8.685317949245572,3.64229486558581
2026-01-22,A股科技,688008.SH,29.1005943095495,-5.807601633028575,688016.SH,-2.5164726259632926,0.20725388601036562,6.014855519038941,-4.037987011922976
2026-01-22,A股深证,000506.SZ,27.69987541869038,8.548387096774192,000001.SZ,-2.3934291429454815,0.0,-8.548387096774192,-55.41102077687443
2026-01-21,A股其他,605287.SH,27.025521665817976,15.162907268170436,003001.SZ,-2.2536537716343434,-0.33050047214353295,-15.49340774031397,-23.863483070281937
2026-01-21,A股深证,000949.SZ,28.544291904166563,-2.809706257982117,000001.SZ,-2.809331809679921,-0.7174887892376688,2.092217468744448,7.311994227101685
2026-01-21,A股上证,600058.SH,27.64233218328112,-4.771505376344091,600012.SH,-1.6886443460686036,-2.0775623268697987,2.6939430494742926,-1.541975694754694
2026-01-20,A股其他,605287.SH,30.586417933556213,0.8339651250947645,003003.SZ,-1.6703093725434135,0.6792452830188669,-0.15471984207589762,-18.23426361690055
2026-01-20,A股创业板,300215.SZ,33.39932633403977,0.6289308176100681,300142.SZ,-2.9148488423426135,-1.0851419031719596,-1.7140727207820277,24.83174263184973
2026-01-20,A股上证,600089.SH,26.088717215976715,-2.5242718446601864,600016.SH,-2.6138531931097715,1.0666666666666678,3.590938511326854,7.871844660194163
2026-01-20,A股深证,001337.SZ,28.034412187850464,5.398457583547562,000042.SZ,-2.958165790113992,0.12150668286755513,-5.276950900680006,-44.390889185280535
2026-01-19,A股科技,688292.SH,26.412094773182943,-1.933701657458571,688003.SH,-0.8245022414147671,-1.2160759305947015,0.7176257268638695,13.765800097174639
2026-01-19,A股上证,600058.SH,29.977622463776875,-9.001956947162432,600007.SH,-2.681684888929551,1.2873326467559216,10.289289593918353,3.0346452873716014
2026-01-19,A股其他,605287.SH,28.68162505994126,2.380336351875813,003002.SZ,-2.5150469600443177,0.4022795843110996,-1.9780567675647136,-8.13119969607855
2026-01-19,A股创业板,300246.SZ,45.16664358398747,1.571428571428576,300007.SZ,-2.8009782519368263,2.369505494505487,0.7980769230769109,3.969780219780206
2026-01-19,A股深证,001255.SZ,56.08577486565706,-16.68104191823357,000001.SZ,-2.6329773423910696,-0.3584229390681086,16.322618979165462,27.229601518026566
2026-01-19,A股北交所,920021.BJ,33.784144069301014,8.125000000000012,920007.BJ,-0.6896931769527984,-1.092198581560278,-9.21719858156029,-18.824911347517748
2026-01-16,A股北交所,920021.BJ,64.06637137669996,-15.789473684210531,920006.BJ,0.5963613520801445,-3.4149706795446653,12.374503004665865,-8.614131914816362
2026-01-16,A股上证,600089.SH,27.44088212443751,-11.465798045602604,600012.SH,-0.9519729266791015,-0.3481894150417753,11.117608630560829,4.437861232341015
2026-01-16,A股创业板,300063.SZ,50.478693838955905,-5.143277002204257,300007.SZ,-1.2616886960958236,0.18923103388955692,5.332508036093814,-3.3731433498076906
2026-01-16,A股其他,605287.SH,26.46197260767404,3.8420204191294993,003001.SZ,-1.8510429364006438,-1.262272089761569,-5.104292508891068,-26.276195593766793
2026-01-16,A股深证,000593.SZ,43.03340058963596,-12.089715536105036,000001.SZ,-1.6527876371363064,-1.5873015873015848,10.50241394880345,16.820360529332095
2026-01-16,A股科技,688118.SH,26.267734871248354,-6.956004756242567,688013.SH,-0.4601519153990776,-0.45738045738045496,6.498624298862112,-8.408104894430693
2026-01-15,A股上证,600301.SH,26.267679344030892,-3.8272816486751773,600008.SH,-0.9802994657901626,0.0,3.8272816486751773,-0.29870989407240955
