date,sector,leader_code,leader_pct,leader_next,leader_5d,follower_avg_pct,follower_avg_next
2023-08-28,A股上证,603106.SH,22.169249106078656,-12.195121951219512,-22.92682926829268,18.9817956084463,-4.249711442900153
2023-08-28,A股其他,605286.SH,16.968421052631584,-4.499640028797696,-5.651547876169907,9.462382046185517,-3.3782402353944407
2023-08-28,A股创业板,301469.SZ,71.11111111111111,-25.94805194805194,-34.41558441558442,30.957181280586312,-12.43901461502368
2023-08-28,A股北交所,832571.BJ,59.589041095890416,-28.755364806866957,-25.751072961373396,40.81661868551328,-29.94193198525521
2023-08-28,A股深证,001366.SZ,22.622282608695652,2.382271468144043,-11.357340720221611,19.081644704198233,-0.24586254551940723
2023-08-28,A股科技,688591.SH,26.65662650602408,-23.900118906064204,-12.485136741973841,20.004473354577723,-8.671413221544952
2023-08-30,A股上证,603767.SH,21.014492753623177,4.251497005988029,32.574850299401206,18.21871985048278,1.7580705232674612
2023-08-30,A股其他,605255.SH,13.409415121255355,-0.8805031446540916,1.1320754716981003,11.136495527537043,1.1936214029353458
2023-08-30,A股创业板,301261.SZ,36.57056145675266,-12.240740740740739,-11.222222222222227,31.99037074645042,-2.5492299527323032
2023-08-30,A股深证,002855.SZ,19.047619047619044,9.999999999999996,58.181818181818166,15.011224546140001,1.8606188073324321
2023-08-30,A股科技,688191.SH,38.22784810126581,14.46886446886447,-13.049450549450556,32.55821998623608,-6.536535735815209
2023-08-31,A股科技,688651.SH,21.73913043478261,18.571428571428573,-10.714285714285714,17.238096871812445,-0.6895796317041305
2023-09-04,A股北交所,835174.BJ,33.196721311475414,2.307692307692313,-0.9230769230769171,20.889317031453903,-0.648950748243716
2023-09-25,A股创业板,300570.SZ,28.05290679790835,2.0898390583713606,0.6485707422531732,20.61275103188247,7.720304887698714
2023-09-25,A股科技,688320.SH,25.745497490404507,-2.160131486264385,-7.325663301244434,16.388485743848225,-0.46823464148158517
2023-10-25,A股上证,600735.SH,20.825852782764816,-4.3090638930163445,-6.09212481426449,15.80993261251432,-1.5783439711855507
2023-10-25,A股其他,003039.SZ,14.428857715430851,9.982486865148866,-6.071220081727958,10.845205871603582,-0.4777783861456669
2023-10-25,A股创业板,301519.SZ,27.856468366383375,5.243722304283611,-15.324963072378134,21.907387698113627,0.9034829266109576
2023-10-25,A股深证,000010.SZ,21.629213483146067,-6.466512702078528,-8.083140877598154,18.223402726770203,-7.7698106255104245
2023-10-25,A股科技,688281.SH,15.030483038924489,-9.974859006591004,-5.0961473126316505,12.642282207230293,-2.7653999731467023
2023-10-30,A股北交所,873693.BJ,229.0,-29.989868287740634,-45.26849037487335,16.783130485284193,0.864333843254086
2023-10-30,A股科技,688180.SH,22.807017543859654,-5.204081632653056,-10.204081632653061,15.51404598340183,1.360998945755934
2023-10-31,A股创业板,300426.SZ,38.70614035087721,-9.565217391304353,-6.719367588932804,23.0131330789418,-4.3313503455335445
2023-10-31,A股科技,688260.SH,20.85521380345086,1.2104283054003744,15.921787709497215,18.230815658984486,-2.080508491866563
2023-11-06,A股科技,688362.SH,19.05626134301269,1.5243902439024393,1.920731707317081,14.003312590143432,0.2835203125646675
2023-11-07,A股科技,688603.SH,16.745905969360813,-6.1199095022624554,-9.785067873303174,13.282586911153837,4.841780937007065
2023-11-09,A股北交所,832000.BJ,31.647940074906376,-1.8492176386913213,-11.806543385490755,16.27418989178177,-2.8733685468735253
2023-11-15,A股北交所,831526.BJ,18.534482758620697,-5.4545454545454515,97.27272727272727,14.744622958737382,-7.721931461911413
2023-11-15,A股科技,688327.SH,21.270718232044185,-3.46241457858769,-16.082004555808645,12.880859628890207,-3.561974058045257
2023-11-21,A股北交所,839946.BJ,50.39682539682539,17.414248021108182,58.57519788918205,25.044701959072412,6.440022277729767
2023-11-22,A股北交所,831744.BJ,1135.7142857142856,-71.67630057803468,-98.26589595375722,109.29041426950022,-21.593993917453307
2023-11-23,A股北交所,831526.BJ,62.76497695852535,8.720271800679496,34.767836919592305,49.28234398782344,-9.023078929177093
2023-11-27,A股北交所,831526.BJ,61.458333333333336,-19.35483870967742,-4.903225806451612,59.959392461455224,-2.186626586994195
2023-11-28,A股北交所,839820.BJ,129.41176470588235,-16.55011655011655,-30.303030303030297,86.7217642429845,-0.16467688482030507
2023-11-29,A股北交所,834567.BJ,830.5555555555557,-91.64179104477613,-97.01492537313433,149.22590342925406,-34.82518753174381
2023-12-06,A股北交所,870029.BJ,89.67136150234742,-5.44554455445545,-55.44554455445545,51.1624109186336,-8.178767704207417
2023-12-08,A股北交所,837592.BJ,49.65986394557824,-17.681818181818183,12.95454545454546,33.84638169988102,-9.995799115639326
2023-12-13,A股北交所,871753.BJ,19.702602230483286,30.43478260869564,34.53416149068322,14.628807809750732,8.21469903431897
2023-12-14,A股北交所,871753.BJ,30.43478260869564,-5.714285714285711,4.2857142857142785,20.71438040634505,5.14738055674507
2023-12-15,A股北交所,836717.BJ,40.04629629629628,-11.5702479338843,-27.024793388429753,27.359463631644672,-8.664678758760243
2023-12-19,A股北交所,833580.BJ,21.775312066574195,5.353075170842833,-9.339407744874709,15.356215084206248,5.668901411882156
2023-12-21,A股北交所,872895.BJ,38.12949640287769,-29.6875,-21.770833333333332,22.632251936537497,-13.565926156297637
2023-12-25,A股北交所,871642.BJ,32.647333956969135,-2.679830747531728,-1.2693935119887145,22.514204866063107,6.858839387205888
2023-12-26,A股北交所,838670.BJ,39.126117179741804,-2.212705210563887,6.352605281941474,24.41700870383157,-1.8203663150562899
